,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,5114078125,1,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,19008,78890,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,19011,78897,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,19013,78938,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,19014,78971,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,19005,78951,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,19018,78973,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,19016,78944,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,19012,78958,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,19012,78860,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,23188,64688,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,23186,64702,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,23200,64682,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,23190,64624,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,23184,64706,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,23188,64678,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,23184,64720,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,23197,64660,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,23188,64707,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,23193,64712,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,22326,67183,4,1,4,1,none,multimat-both,4_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,22326,67202,4,1,4,1,none,multimat-both,4_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,22326,67212,4,1,4,1,none,multimat-both,4_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,22327,67212,4,1,4,1,none,multimat-both,4_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,22327,67210,4,1,4,1,none,multimat-both,4_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,22326,67212,4,1,4,1,none,multimat-both,4_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,22325,67201,4,1,4,1,none,multimat-both,4_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,22327,67222,4,1,4,1,none,multimat-both,4_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,22325,67210,4,1,4,1,none,multimat-both,4_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,22324,67213,4,1,4,1,none,multimat-both,4_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,22582,66445,4,2,1,1,none,multimat-both,4_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,22587,66433,4,2,1,1,none,multimat-both,4_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,22583,66423,4,2,1,1,none,multimat-both,4_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,22584,66423,4,2,1,1,none,multimat-both,4_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,22582,66424,4,2,1,1,none,multimat-both,4_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,22584,66439,4,2,1,1,none,multimat-both,4_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,22588,66423,4,2,1,1,none,multimat-both,4_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,22585,66435,4,2,1,1,none,multimat-both,4_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,22588,66422,4,2,1,1,none,multimat-both,4_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,22585,66427,4,2,1,1,none,multimat-both,4_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,24559,61077,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,24562,61081,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,24563,61081,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,24560,61082,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,24560,61091,4,2,2,1,none,multimat-both,4_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
