,Kernel,Kernel_iterations,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,44059,34036,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,44245,33897,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,44041,34050,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,44255,33893,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,44053,34041,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,44258,33889,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,44053,34052,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,44280,33854,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,44031,34065,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,44224,33895,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,155762,9613,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
1,155926,9616,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
2,155740,9629,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
3,155964,9617,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
4,155747,9628,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
5,155981,9617,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
6,155745,9625,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
7,156022,9612,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
8,155803,9620,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
9,155994,9610,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
0,114841,10000,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
1,115107,10000,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
2,114874,10000,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
3,115092,10000,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
4,114880,10000,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
5,115086,10000,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
6,114862,10000,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
7,115084,10000,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
8,114860,10000,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
9,115089,10000,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
0,2232722,672,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
1,2234208,672,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
2,2232716,672,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
3,2233955,672,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
4,2232729,672,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
5,2233879,672,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
6,2232705,672,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
7,2233867,672,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
8,2232763,672,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
9,2234156,672,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
0,550170,2727,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
1,549978,2727,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
2,550058,2727,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
3,550012,2728,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
4,550066,2727,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
5,549959,2724,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
6,550078,2727,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
7,549952,2725,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
8,550110,2727,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
9,549997,2727,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
0,363412,4127,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
1,363160,4128,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
2,363470,4125,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
3,363212,4129,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
4,363415,4128,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
5,363182,4130,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
6,363514,4125,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
7,363195,4130,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
8,363474,4127,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
9,363191,4129,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
0,6933016,217,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
1,6933179,217,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
2,6933345,217,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
3,6932802,217,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
4,6933318,217,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
5,6932937,217,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
6,6932547,217,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
7,6932696,217,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
8,6933133,217,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
9,6932679,217,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
0,2080717,721,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
1,2082474,720,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
2,2080781,722,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
3,2082666,721,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
4,2080484,721,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
5,2082863,721,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
6,2080813,721,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
7,2083052,720,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
8,2080842,721,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
9,2082917,721,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
0,1708188,878,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
1,1707738,879,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
2,1707891,879,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
3,1707952,879,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
4,1707747,879,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
5,1707669,879,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
6,1707636,879,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
7,1707719,879,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
8,1707692,879,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
9,1707662,879,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
0,31126176,47,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
1,31303225,44,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
2,31367939,48,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
3,31229769,48,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
4,31386028,48,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
5,31249219,48,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
6,31388799,50,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
7,31228982,49,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
8,31533852,48,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
9,31328155,48,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
0,21496136,71,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
1,21358588,73,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
2,21524459,68,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
3,21452692,70,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
4,21385734,67,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
5,21380668,69,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
6,21597727,69,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
7,21501198,72,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
8,21407541,71,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
9,21517875,70,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
0,18613021,81,8,original,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
1,18667902,78,8,original,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
2,18687021,80,8,original,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
3,18654273,80,8,original,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
4,18583237,72,8,original,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
5,18611789,84,8,original,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
6,18658539,81,8,original,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
7,18423629,81,8,original,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
8,18648080,85,8,original,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
9,18568976,83,8,original,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
0,290581710,6,8,original,,128_128_32_32,1048576,128,128,16384,32,32,32x32,n_to_m
1,287745057,6,8,original,,128_128_32_32,1048576,128,128,16384,32,32,32x32,n_to_m
2,289808197,6,8,original,,128_128_32_32,1048576,128,128,16384,32,32,32x32,n_to_m
3,289872365,6,8,original,,128_128_32_32,1048576,128,128,16384,32,32,32x32,n_to_m
4,289078720,6,8,original,,128_128_32_32,1048576,128,128,16384,32,32,32x32,n_to_m
5,289230717,6,8,original,,128_128_32_32,1048576,128,128,16384,32,32,32x32,n_to_m
6,289411624,6,8,original,,128_128_32_32,1048576,128,128,16384,32,32,32x32,n_to_m
7,288632000,6,8,original,,128_128_32_32,1048576,128,128,16384,32,32,32x32,n_to_m
8,288014433,6,8,original,,128_128_32_32,1048576,128,128,16384,32,32,32x32,n_to_m
9,287010455,6,8,original,,128_128_32_32,1048576,128,128,16384,32,32,32x32,n_to_m
0,252612185,6,8,original,,256_256_8_8,1048576,256,256,65536,8,8,8x8,n_to_m
1,255099137,6,8,original,,256_256_8_8,1048576,256,256,65536,8,8,8x8,n_to_m
2,251859886,6,8,original,,256_256_8_8,1048576,256,256,65536,8,8,8x8,n_to_m
3,253564038,6,8,original,,256_256_8_8,1048576,256,256,65536,8,8,8x8,n_to_m
4,253183335,6,8,original,,256_256_8_8,1048576,256,256,65536,8,8,8x8,n_to_m
5,255042275,6,8,original,,256_256_8_8,1048576,256,256,65536,8,8,8x8,n_to_m
6,253966526,6,8,original,,256_256_8_8,1048576,256,256,65536,8,8,8x8,n_to_m
7,252997774,6,8,original,,256_256_8_8,1048576,256,256,65536,8,8,8x8,n_to_m
8,254031986,6,8,original,,256_256_8_8,1048576,256,256,65536,8,8,8x8,n_to_m
9,254711185,6,8,original,,256_256_8_8,1048576,256,256,65536,8,8,8x8,n_to_m
0,3881720076,1,8,original,,256_256_32_32,4194304,256,256,65536,32,32,32x32,n_to_m
1,3899334227,1,8,original,,256_256_32_32,4194304,256,256,65536,32,32,32x32,n_to_m
2,3872024646,1,8,original,,256_256_32_32,4194304,256,256,65536,32,32,32x32,n_to_m
3,3888883804,1,8,original,,256_256_32_32,4194304,256,256,65536,32,32,32x32,n_to_m
4,3887609233,1,8,original,,256_256_32_32,4194304,256,256,65536,32,32,32x32,n_to_m
5,3899329360,1,8,original,,256_256_32_32,4194304,256,256,65536,32,32,32x32,n_to_m
6,3861828277,1,8,original,,256_256_32_32,4194304,256,256,65536,32,32,32x32,n_to_m
7,3891465643,1,8,original,,256_256_32_32,4194304,256,256,65536,32,32,32x32,n_to_m
8,3896981745,1,8,original,,256_256_32_32,4194304,256,256,65536,32,32,32x32,n_to_m
9,3886338981,1,8,original,,256_256_32_32,4194304,256,256,65536,32,32,32x32,n_to_m
