,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,hadamard_items_per_thread,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,10400,150875,51374,29419,204192,10000,330170,1,9511933,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,10397,150935,51475,29371,204092,10000,336039,1,4072827,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,10399,150612,51457,29336,204296,10000,321616,1,4119677,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,10412,150680,51357,29427,204111,10000,333455,1,4199658,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,10413,150567,51437,29401,204183,10000,327506,1,3962520,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,10413,150339,51382,29389,204193,10000,337251,1,4020317,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,10409,150480,51394,29352,204201,10000,337561,1,4020508,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,10398,150792,51399,29390,204449,10000,338913,1,4294593,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,10407,150453,51490,29400,204039,10000,342970,1,3926415,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,10396,150720,51445,29385,204303,10000,333775,1,3834657,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,15390,101872,188993,8634,676189,10000,495220,1,11841717,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
1,15374,101825,189957,8627,676444,10000,637595,1,5166918,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
2,15368,101839,189999,8633,676329,10000,721192,1,5294440,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
3,15365,101842,190247,8641,676569,10000,623223,1,5610689,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
4,15363,101914,190318,8644,676252,10000,711507,1,5047366,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
5,15375,101813,190029,8650,676421,10000,633238,1,5431858,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
6,15368,101852,190095,8634,676377,10000,725298,1,6265697,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
