,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,24399,6139,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,24398,6152,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,24407,6101,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,24440,6080,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,24416,6138,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,24412,6136,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,24425,6150,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,24426,6145,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,24383,6158,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,24453,6140,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,19929,7511,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,19982,7491,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,19952,7536,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,20008,7513,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,19994,7513,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,19980,7515,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,19972,7482,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,20003,7509,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,19971,7514,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,19990,7514,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,19291,7753,4,1,1,4,20,multimat-right-multirow-both,4_1_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,19343,7768,4,1,1,4,20,multimat-right-multirow-both,4_1_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,19335,7751,4,1,1,4,20,multimat-right-multirow-both,4_1_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,19342,7781,4,1,1,4,20,multimat-right-multirow-both,4_1_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,19344,7652,4,1,1,4,20,multimat-right-multirow-both,4_1_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,19346,7747,4,1,1,4,20,multimat-right-multirow-both,4_1_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,19320,7739,4,1,1,4,20,multimat-right-multirow-both,4_1_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,19359,7763,4,1,1,4,20,multimat-right-multirow-both,4_1_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,19325,7756,4,1,1,4,20,multimat-right-multirow-both,4_1_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,19334,7643,4,1,1,4,20,multimat-right-multirow-both,4_1_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,27252,5497,4,2,1,1,20,multimat-right-multirow-both,4_1_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,27276,5504,4,2,1,1,20,multimat-right-multirow-both,4_1_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,27282,5498,4,2,1,1,20,multimat-right-multirow-both,4_1_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,27274,5516,4,2,1,1,20,multimat-right-multirow-both,4_1_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,27264,5498,4,2,1,1,20,multimat-right-multirow-both,4_1_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,27264,5484,4,2,1,1,20,multimat-right-multirow-both,4_1_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,27268,5494,4,2,1,1,20,multimat-right-multirow-both,4_1_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,27267,5499,4,2,1,1,20,multimat-right-multirow-both,4_1_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,27255,5454,4,2,1,1,20,multimat-right-multirow-both,4_1_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,27282,5488,4,2,1,1,20,multimat-right-multirow-both,4_1_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,23150,6462,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,23206,6442,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,23202,6450,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,23225,6430,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,23207,6458,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,23203,6474,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,23176,6423,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,23253,6473,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,23193,6453,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,23206,6455,4,2,1,2,20,multimat-right-multirow-both,4_1_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,24633,6081,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,24665,6092,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,24669,6087,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,24695,6093,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,24684,6064,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,24674,6089,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,24650,6080,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,24671,5991,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,24653,6084,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,24664,6090,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,28584,5240,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,28607,5243,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,28644,5248,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,28627,5228,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,28638,5238,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,28619,5242,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,28631,5237,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,28657,5249,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,28634,5235,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,28620,5251,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,27152,5517,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,27207,5532,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,27180,5524,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,27227,5482,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,27202,5519,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,27227,5527,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,27183,5485,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,27230,5509,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,27185,5523,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,27206,5502,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,24727,6051,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,24814,6013,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,24738,6064,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,24807,6053,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,24748,6054,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,24813,6040,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,24739,6047,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,24809,6009,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,24738,6054,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,24803,6046,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,27153,5515,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,27131,5531,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,27170,5542,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,27178,5525,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,27183,5526,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,27173,5524,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,27138,5536,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,27182,5529,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,27148,5511,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,27148,5514,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,26460,5664,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,26489,5614,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,26486,5670,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,26500,5664,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,26516,5641,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,26489,5673,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,26504,5662,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,26509,5660,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,26490,5672,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,26472,5675,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,26870,5575,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,26910,5574,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,26904,5579,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,26928,5568,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,26918,5575,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,26921,5568,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,26910,5557,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,26955,5584,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,26893,5559,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,26940,5554,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
