,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,13441,10000,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,13462,10000,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,13444,10000,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,13476,10000,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,13475,10000,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,13485,10000,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,13446,10000,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,13497,10000,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,13468,10000,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,13486,10000,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,12850,10000,4,1,1,triangle,20,multimat-right-work-distribution,4_1_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,12870,10000,4,1,1,triangle,20,multimat-right-work-distribution,4_1_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,12859,10000,4,1,1,triangle,20,multimat-right-work-distribution,4_1_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,12889,10000,4,1,1,triangle,20,multimat-right-work-distribution,4_1_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,12887,10000,4,1,1,triangle,20,multimat-right-work-distribution,4_1_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,12887,10000,4,1,1,triangle,20,multimat-right-work-distribution,4_1_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,12862,10000,4,1,1,triangle,20,multimat-right-work-distribution,4_1_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,12893,10000,4,1,1,triangle,20,multimat-right-work-distribution,4_1_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,12892,10000,4,1,1,triangle,20,multimat-right-work-distribution,4_1_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,12883,10000,4,1,1,triangle,20,multimat-right-work-distribution,4_1_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,15349,9712,4,1,4,rectangle,20,multimat-right-work-distribution,4_1_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,15344,9720,4,1,4,rectangle,20,multimat-right-work-distribution,4_1_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,15361,9709,4,1,4,rectangle,20,multimat-right-work-distribution,4_1_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,15369,9760,4,1,4,rectangle,20,multimat-right-work-distribution,4_1_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,15350,9741,4,1,4,rectangle,20,multimat-right-work-distribution,4_1_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,15393,9719,4,1,4,rectangle,20,multimat-right-work-distribution,4_1_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,15357,9718,4,1,4,rectangle,20,multimat-right-work-distribution,4_1_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,15379,9753,4,1,4,rectangle,20,multimat-right-work-distribution,4_1_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,15358,9764,4,1,4,rectangle,20,multimat-right-work-distribution,4_1_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,15357,9785,4,1,4,rectangle,20,multimat-right-work-distribution,4_1_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,15402,9617,4,1,4,triangle,20,multimat-right-work-distribution,4_1_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,15425,9635,4,1,4,triangle,20,multimat-right-work-distribution,4_1_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,15418,9590,4,1,4,triangle,20,multimat-right-work-distribution,4_1_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,15445,9691,4,1,4,triangle,20,multimat-right-work-distribution,4_1_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,15435,9688,4,1,4,triangle,20,multimat-right-work-distribution,4_1_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,15477,9556,4,1,4,triangle,20,multimat-right-work-distribution,4_1_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,15399,9713,4,1,4,triangle,20,multimat-right-work-distribution,4_1_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,15480,9668,4,1,4,triangle,20,multimat-right-work-distribution,4_1_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
