,Kernel,Kernel_iterations,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,73256,2046,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,73252,2047,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,73251,2047,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,73254,2047,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,73253,2047,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,73254,2047,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,73249,2047,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,73249,2047,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,73256,2048,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,73255,2048,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,73358,2044,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
1,73354,2044,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
2,73353,2044,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
3,73353,2044,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
4,73349,2045,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
5,73355,2044,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
6,73353,2044,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
7,73354,2044,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
8,73355,2045,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
9,73347,2044,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
0,73410,2043,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
1,73412,2043,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
2,73419,2043,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
3,73414,2042,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
4,73412,2042,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
5,73417,2043,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
6,73415,2042,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
7,73416,2043,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
8,73411,2042,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
9,73414,2042,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
0,209485,716,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
1,209515,716,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
2,209553,716,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
3,209513,716,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
4,209512,716,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
5,209515,717,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
6,209472,716,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
7,209590,717,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
8,209526,715,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
9,209472,716,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
0,209895,715,original,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
1,209871,715,original,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
2,209874,715,original,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
3,209865,715,original,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
4,209889,715,original,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
5,209875,715,original,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
6,209902,715,original,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
7,209898,715,original,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
8,209898,715,original,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
9,209899,715,original,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
0,210886,712,original,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
1,210923,712,original,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
2,210962,711,original,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
3,210965,712,original,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
4,210942,711,original,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
5,210974,711,original,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
6,210962,711,original,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
7,210916,711,original,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
8,210931,712,original,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
9,210954,711,original,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
0,667306,225,original,,64_64_2_8,40960,64,64,4096,2,8,2x8,n_to_mn
1,667402,225,original,,64_64_2_8,40960,64,64,4096,2,8,2x8,n_to_mn
2,667456,225,original,,64_64_2_8,40960,64,64,4096,2,8,2x8,n_to_mn
3,667506,225,original,,64_64_2_8,40960,64,64,4096,2,8,2x8,n_to_mn
4,667634,225,original,,64_64_2_8,40960,64,64,4096,2,8,2x8,n_to_mn
5,667538,225,original,,64_64_2_8,40960,64,64,4096,2,8,2x8,n_to_mn
6,667465,225,original,,64_64_2_8,40960,64,64,4096,2,8,2x8,n_to_mn
7,667616,225,original,,64_64_2_8,40960,64,64,4096,2,8,2x8,n_to_mn
8,667484,225,original,,64_64_2_8,40960,64,64,4096,2,8,2x8,n_to_mn
9,667497,225,original,,64_64_2_8,40960,64,64,4096,2,8,2x8,n_to_mn
0,779423,193,original,,64_64_4_16,81920,64,64,4096,4,16,4x16,n_to_mn
1,779290,193,original,,64_64_4_16,81920,64,64,4096,4,16,4x16,n_to_mn
2,779412,193,original,,64_64_4_16,81920,64,64,4096,4,16,4x16,n_to_mn
3,779333,193,original,,64_64_4_16,81920,64,64,4096,4,16,4x16,n_to_mn
4,779396,193,original,,64_64_4_16,81920,64,64,4096,4,16,4x16,n_to_mn
5,779295,193,original,,64_64_4_16,81920,64,64,4096,4,16,4x16,n_to_mn
6,779375,193,original,,64_64_4_16,81920,64,64,4096,4,16,4x16,n_to_mn
7,779386,193,original,,64_64_4_16,81920,64,64,4096,4,16,4x16,n_to_mn
8,779401,193,original,,64_64_4_16,81920,64,64,4096,4,16,4x16,n_to_mn
9,779412,193,original,,64_64_4_16,81920,64,64,4096,4,16,4x16,n_to_mn
0,1167943,100,original,,64_64_8_32,163840,64,64,4096,8,32,8x32,n_to_mn
1,1167769,100,original,,64_64_8_32,163840,64,64,4096,8,32,8x32,n_to_mn
2,1167779,100,original,,64_64_8_32,163840,64,64,4096,8,32,8x32,n_to_mn
3,1167595,100,original,,64_64_8_32,163840,64,64,4096,8,32,8x32,n_to_mn
4,1167738,100,original,,64_64_8_32,163840,64,64,4096,8,32,8x32,n_to_mn
5,1167820,100,original,,64_64_8_32,163840,64,64,4096,8,32,8x32,n_to_mn
6,1167820,100,original,,64_64_8_32,163840,64,64,4096,8,32,8x32,n_to_mn
7,1167493,100,original,,64_64_8_32,163840,64,64,4096,8,32,8x32,n_to_mn
8,1167882,100,original,,64_64_8_32,163840,64,64,4096,8,32,8x32,n_to_mn
9,1167872,100,original,,64_64_8_32,163840,64,64,4096,8,32,8x32,n_to_mn
0,3486281,42,original,,128_128_2_8,163840,128,128,16384,2,8,2x8,n_to_mn
1,3490744,43,original,,128_128_2_8,163840,128,128,16384,2,8,2x8,n_to_mn
2,3486458,43,original,,128_128_2_8,163840,128,128,16384,2,8,2x8,n_to_mn
3,3490601,43,original,,128_128_2_8,163840,128,128,16384,2,8,2x8,n_to_mn
4,3486791,43,original,,128_128_2_8,163840,128,128,16384,2,8,2x8,n_to_mn
5,3490625,43,original,,128_128_2_8,163840,128,128,16384,2,8,2x8,n_to_mn
6,3486339,43,original,,128_128_2_8,163840,128,128,16384,2,8,2x8,n_to_mn
7,3490506,43,original,,128_128_2_8,163840,128,128,16384,2,8,2x8,n_to_mn
8,3486434,43,original,,128_128_2_8,163840,128,128,16384,2,8,2x8,n_to_mn
9,3490982,43,original,,128_128_2_8,163840,128,128,16384,2,8,2x8,n_to_mn
0,5381592,26,original,,128_128_4_16,327680,128,128,16384,4,16,4x16,n_to_mn
1,5406366,29,original,,128_128_4_16,327680,128,128,16384,4,16,4x16,n_to_mn
2,5375195,28,original,,128_128_4_16,327680,128,128,16384,4,16,4x16,n_to_mn
3,5393549,29,original,,128_128_4_16,327680,128,128,16384,4,16,4x16,n_to_mn
4,5360786,28,original,,128_128_4_16,327680,128,128,16384,4,16,4x16,n_to_mn
5,5439378,28,original,,128_128_4_16,327680,128,128,16384,4,16,4x16,n_to_mn
6,5362212,28,original,,128_128_4_16,327680,128,128,16384,4,16,4x16,n_to_mn
7,5447095,28,original,,128_128_4_16,327680,128,128,16384,4,16,4x16,n_to_mn
8,5379839,28,original,,128_128_4_16,327680,128,128,16384,4,16,4x16,n_to_mn
9,5378998,28,original,,128_128_4_16,327680,128,128,16384,4,16,4x16,n_to_mn
0,9473983,16,original,,128_128_8_32,655360,128,128,16384,8,32,8x32,n_to_mn
1,9463446,17,original,,128_128_8_32,655360,128,128,16384,8,32,8x32,n_to_mn
2,9509632,16,original,,128_128_8_32,655360,128,128,16384,8,32,8x32,n_to_mn
3,9569215,16,original,,128_128_8_32,655360,128,128,16384,8,32,8x32,n_to_mn
4,9504320,16,original,,128_128_8_32,655360,128,128,16384,8,32,8x32,n_to_mn
5,9539520,16,original,,128_128_8_32,655360,128,128,16384,8,32,8x32,n_to_mn
6,9549440,16,original,,128_128_8_32,655360,128,128,16384,8,32,8x32,n_to_mn
7,9539520,16,original,,128_128_8_32,655360,128,128,16384,8,32,8x32,n_to_mn
8,9560256,16,original,,128_128_8_32,655360,128,128,16384,8,32,8x32,n_to_mn
9,9529472,16,original,,128_128_8_32,655360,128,128,16384,8,32,8x32,n_to_mn
0,35237274,5,original,,256_256_2_8,655360,256,256,65536,2,8,2x8,n_to_mn
1,35081011,5,original,,256_256_2_8,655360,256,256,65536,2,8,2x8,n_to_mn
2,35369573,5,original,,256_256_2_8,655360,256,256,65536,2,8,2x8,n_to_mn
3,35690087,5,original,,256_256_2_8,655360,256,256,65536,2,8,2x8,n_to_mn
4,35775079,5,original,,256_256_2_8,655360,256,256,65536,2,8,2x8,n_to_mn
5,35925402,5,original,,256_256_2_8,655360,256,256,65536,2,8,2x8,n_to_mn
6,34662399,5,original,,256_256_2_8,655360,256,256,65536,2,8,2x8,n_to_mn
7,35577856,5,original,,256_256_2_8,655360,256,256,65536,2,8,2x8,n_to_mn
8,35335168,5,original,,256_256_2_8,655360,256,256,65536,2,8,2x8,n_to_mn
9,34889114,5,original,,256_256_2_8,655360,256,256,65536,2,8,2x8,n_to_mn
0,61497685,3,original,,256_256_4_16,1310720,256,256,65536,4,16,4x16,n_to_mn
1,61451604,3,original,,256_256_4_16,1310720,256,256,65536,4,16,4x16,n_to_mn
2,61788162,3,original,,256_256_4_16,1310720,256,256,65536,4,16,4x16,n_to_mn
3,61387095,3,original,,256_256_4_16,1310720,256,256,65536,4,16,4x16,n_to_mn
4,61339304,3,original,,256_256_4_16,1310720,256,256,65536,4,16,4x16,n_to_mn
5,61094909,3,original,,256_256_4_16,1310720,256,256,65536,4,16,4x16,n_to_mn
6,61513727,3,original,,256_256_4_16,1310720,256,256,65536,4,16,4x16,n_to_mn
7,61593256,3,original,,256_256_4_16,1310720,256,256,65536,4,16,4x16,n_to_mn
8,61598378,3,original,,256_256_4_16,1310720,256,256,65536,4,16,4x16,n_to_mn
9,60684631,3,original,,256_256_4_16,1310720,256,256,65536,4,16,4x16,n_to_mn
0,117996543,1,original,,256_256_8_32,2621440,256,256,65536,8,32,8x32,n_to_mn
1,118898208,1,original,,256_256_8_32,2621440,256,256,65536,8,32,8x32,n_to_mn
2,119175964,1,original,,256_256_8_32,2621440,256,256,65536,8,32,8x32,n_to_mn
3,119428253,1,original,,256_256_8_32,2621440,256,256,65536,8,32,8x32,n_to_mn
4,118221282,1,original,,256_256_8_32,2621440,256,256,65536,8,32,8x32,n_to_mn
5,118686241,1,original,,256_256_8_32,2621440,256,256,65536,8,32,8x32,n_to_mn
6,119233665,1,original,,256_256_8_32,2621440,256,256,65536,8,32,8x32,n_to_mn
7,119053535,1,original,,256_256_8_32,2621440,256,256,65536,8,32,8x32,n_to_mn
8,117887649,1,original,,256_256_8_32,2621440,256,256,65536,8,32,8x32,n_to_mn
9,118445343,1,original,,256_256_8_32,2621440,256,256,65536,8,32,8x32,n_to_mn
