,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,33153,10000,55625,2695,31591,10000,198180,1,10392557,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,33139,10000,55642,2693,31582,10000,187494,1,4309836,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,33143,10000,55634,2693,31593,10000,188746,1,4587727,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,33145,10000,55641,2694,31590,10000,187694,1,4278139,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,33138,10000,55634,2691,31606,10000,187815,1,4840299,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,33146,10000,55641,2692,31582,10000,188675,1,4815482,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,33141,10000,55623,2691,31588,10000,183167,1,4412742,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,33145,10000,55632,2694,31598,10000,206002,1,4431519,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,33141,10000,55637,2696,31591,10000,186412,1,4323987,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,33156,10000,55627,2696,31595,10000,190268,1,4642260,1,256,fft,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,121426,10000,156167,952,115446,10000,255337,1,9150186,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
1,121518,10000,156170,952,115454,10000,289097,1,3707885,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
2,121535,10000,156295,950,115424,10000,303810,1,3756999,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
3,121559,10000,156259,949,115436,10000,298181,1,3751561,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
4,121562,10000,156399,946,115507,10000,304862,1,4122012,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
5,121570,10000,156362,946,115471,10000,296058,1,3699292,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
6,121603,10000,156447,946,115445,10000,292202,1,3745793,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
7,121614,10000,157593,947,115407,10000,293844,1,3820225,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
8,121620,10000,156486,946,115462,10000,292302,1,3968269,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
9,121605,10000,156601,946,115433,10000,295457,1,3481623,1,256,fft,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
0,436672,10000,256714,582,436067,10000,408428,1,11235133,1,256,fft,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
1,436700,10000,256811,582,436135,10000,657546,1,5299875,1,256,fft,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
2,436783,10000,256680,582,436057,10000,678247,1,5354358,1,256,fft,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
