,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,445756,337,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,445549,337,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,445585,337,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,445688,337,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,445789,337,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,445808,337,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,445755,337,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,445587,337,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,445659,337,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,445638,337,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,448357,335,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,448396,335,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,448298,335,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,448268,335,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,448167,335,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,448202,335,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,448174,335,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
