,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,8399,18696,2693,55656,8141,19288,68153,1,8309264,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
1,8410,18670,2693,55649,8132,19315,98319,1,3996913,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
2,8410,18672,2693,55654,8194,19184,95705,1,4141101,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
3,8396,18709,2693,55656,8130,19320,95965,1,3026403,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
4,8411,18672,2693,55651,8135,19308,94363,1,2966653,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
5,8413,18666,2693,55660,8208,19134,94262,1,3553442,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
6,8402,18716,2693,55658,8130,19324,94303,1,4565554,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
7,8413,18669,2693,55662,8188,19187,96556,1,3821728,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
8,8408,18678,2693,55654,8137,19301,94653,1,4061731,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
9,8413,18660,2693,55649,8123,19336,94473,1,2793771,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8616,18224,3994,37572,8341,18828,70878,1,7439406,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
1,8704,18041,3983,37618,8364,18781,99510,1,4054550,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
2,8623,18230,3994,37560,8342,18829,95204,1,4184187,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
3,8644,18160,3991,37557,8349,18818,95805,1,4092698,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
4,8707,18034,3985,37633,8376,18752,105630,1,3788457,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
5,8646,18157,3991,37606,8416,18656,104698,1,4054310,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
6,8626,18187,3993,37595,8371,18761,96867,1,3950293,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
7,8624,18204,3986,37630,8357,18801,95945,1,106703355,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
8,8709,18036,3992,37559,8354,18804,96677,1,4059518,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
9,8709,18036,3988,37590,8417,18663,97508,1,4525824,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7369,21338,2693,55656,7165,21934,66991,1,8573284,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
1,7463,21054,2693,55656,7175,21826,108133,1,3887668,1,256,fft,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
