,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,19039,78801,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,14322,104726,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,13833,108418,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,21363,70195,4,2,1,1,multimat-right-multirow-both,4_1_2_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,17366,86383,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,18875,79486,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,22622,66312,4,4,1,1,multimat-right-multirow-both,4_1_4_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,21283,70490,4,4,1,2,multimat-right-multirow-both,4_1_4_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,18983,79038,4,4,1,4,multimat-right-multirow-both,4_1_4_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,21561,69565,4,1,2,1,multimat-right-multirow-both,4_2_1_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,20871,71870,4,1,2,2,multimat-right-multirow-both,4_2_1_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,21302,70415,4,1,2,4,multimat-right-multirow-both,4_2_1_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,31823,47131,4,2,2,1,multimat-right-multirow-both,4_2_2_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
