,Kernel,Kernel_iterations,shifts_per_thread_block,shared_mem_row_size,shared_mem_rows,strided_load,column_group_per_block,right_matrices_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,7094,211582,8,32,8,0,0,1,warp-per-shift-shared-memory,8_32_False_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7668,195621,8,32,8,0,0,2,warp-per-shift-shared-memory,8_32_False_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7622,196788,8,32,8,0,0,4,warp-per-shift-shared-memory,8_32_False_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7531,199182,8,32,8,0,0,8,warp-per-shift-shared-memory,8_32_False_False_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,9609,156124,8,32,8,0,1,1,warp-per-shift-shared-memory,8_32_False_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10184,147384,8,32,8,0,1,2,warp-per-shift-shared-memory,8_32_False_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10113,148287,8,32,8,0,1,4,warp-per-shift-shared-memory,8_32_False_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10130,148035,8,32,8,0,1,8,warp-per-shift-shared-memory,8_32_False_True_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5951,252025,8,32,8,1,0,1,warp-per-shift-shared-memory,8_32_True_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6437,233308,8,32,8,1,0,2,warp-per-shift-shared-memory,8_32_True_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6225,240956,8,32,8,1,0,4,warp-per-shift-shared-memory,8_32_True_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6229,240751,8,32,8,1,0,8,warp-per-shift-shared-memory,8_32_True_False_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8487,176671,8,32,8,1,1,1,warp-per-shift-shared-memory,8_32_True_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8916,168205,8,32,8,1,1,2,warp-per-shift-shared-memory,8_32_True_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8700,172428,8,32,8,1,1,4,warp-per-shift-shared-memory,8_32_True_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8720,171971,8,32,8,1,1,8,warp-per-shift-shared-memory,8_32_True_True_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7091,211579,8,128,8,0,0,1,warp-per-shift-shared-memory,8_128_False_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7668,195522,8,128,8,0,0,2,warp-per-shift-shared-memory,8_128_False_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7617,196896,8,128,8,0,0,4,warp-per-shift-shared-memory,8_128_False_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7531,199177,8,128,8,0,0,8,warp-per-shift-shared-memory,8_128_False_False_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,9609,156107,8,128,8,0,1,1,warp-per-shift-shared-memory,8_128_False_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10183,147242,8,128,8,0,1,2,warp-per-shift-shared-memory,8_128_False_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10112,148300,8,128,8,0,1,4,warp-per-shift-shared-memory,8_128_False_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10129,148027,8,128,8,0,1,8,warp-per-shift-shared-memory,8_128_False_True_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5950,252056,8,128,8,1,0,1,warp-per-shift-shared-memory,8_128_True_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6437,233304,8,128,8,1,0,2,warp-per-shift-shared-memory,8_128_True_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6225,240929,8,128,8,1,0,4,warp-per-shift-shared-memory,8_128_True_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6223,240996,8,128,8,1,0,8,warp-per-shift-shared-memory,8_128_True_False_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8474,176991,8,128,8,1,1,1,warp-per-shift-shared-memory,8_128_True_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8917,168224,8,128,8,1,1,2,warp-per-shift-shared-memory,8_128_True_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8699,172426,8,128,8,1,1,4,warp-per-shift-shared-memory,8_128_True_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8718,171997,8,128,8,1,1,8,warp-per-shift-shared-memory,8_128_True_True_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7085,211879,8,256,8,0,0,1,warp-per-shift-shared-memory,8_256_False_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7666,195689,8,256,8,0,0,2,warp-per-shift-shared-memory,8_256_False_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7616,196970,8,256,8,0,0,4,warp-per-shift-shared-memory,8_256_False_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,9608,156096,8,256,8,0,1,1,warp-per-shift-shared-memory,8_256_False_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10179,147363,8,256,8,0,1,2,warp-per-shift-shared-memory,8_256_False_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10112,148320,8,256,8,0,1,4,warp-per-shift-shared-memory,8_256_False_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5952,251952,8,256,8,1,0,1,warp-per-shift-shared-memory,8_256_True_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6437,233286,8,256,8,1,0,2,warp-per-shift-shared-memory,8_256_True_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6225,240885,8,256,8,1,0,4,warp-per-shift-shared-memory,8_256_True_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8466,177145,8,256,8,1,1,1,warp-per-shift-shared-memory,8_256_True_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8993,166763,8,256,8,1,1,2,warp-per-shift-shared-memory,8_256_True_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8766,171093,8,256,8,1,1,4,warp-per-shift-shared-memory,8_256_True_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6746,222499,16,32,16,0,0,1,warp-per-shift-shared-memory,16_32_False_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6406,234196,16,32,16,0,0,2,warp-per-shift-shared-memory,16_32_False_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6424,233471,16,32,16,0,0,4,warp-per-shift-shared-memory,16_32_False_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6206,241624,16,32,16,0,0,8,warp-per-shift-shared-memory,16_32_False_False_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,9327,160787,16,32,16,0,1,1,warp-per-shift-shared-memory,16_32_False_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,9030,166152,16,32,16,0,1,2,warp-per-shift-shared-memory,16_32_False_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,9055,165797,16,32,16,0,1,4,warp-per-shift-shared-memory,16_32_False_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8767,171079,16,32,16,0,1,8,warp-per-shift-shared-memory,16_32_False_True_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5538,270781,16,32,16,1,0,1,warp-per-shift-shared-memory,16_32_True_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5314,282413,16,32,16,1,0,2,warp-per-shift-shared-memory,16_32_True_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5299,282986,16,32,16,1,0,4,warp-per-shift-shared-memory,16_32_True_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5309,282413,16,32,16,1,0,8,warp-per-shift-shared-memory,16_32_True_False_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8095,185278,16,32,16,1,1,1,warp-per-shift-shared-memory,16_32_True_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7888,190146,16,32,16,1,1,2,warp-per-shift-shared-memory,16_32_True_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7943,188932,16,32,16,1,1,4,warp-per-shift-shared-memory,16_32_True_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7934,189179,16,32,16,1,1,8,warp-per-shift-shared-memory,16_32_True_True_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6750,222229,16,128,16,0,0,1,warp-per-shift-shared-memory,16_128_False_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6409,234035,16,128,16,0,0,2,warp-per-shift-shared-memory,16_128_False_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6422,233486,16,128,16,0,0,4,warp-per-shift-shared-memory,16_128_False_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,9330,160819,16,128,16,0,1,1,warp-per-shift-shared-memory,16_128_False_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,9032,166171,16,128,16,0,1,2,warp-per-shift-shared-memory,16_128_False_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8790,170623,16,128,16,0,1,4,warp-per-shift-shared-memory,16_128_False_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5559,269829,16,128,16,1,0,1,warp-per-shift-shared-memory,16_128_True_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5388,278795,16,128,16,1,0,2,warp-per-shift-shared-memory,16_128_True_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5182,289415,16,128,16,1,0,4,warp-per-shift-shared-memory,16_128_True_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8105,185128,16,128,16,1,1,1,warp-per-shift-shared-memory,16_128_True_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7988,187702,16,128,16,1,1,2,warp-per-shift-shared-memory,16_128_True_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7734,193904,16,128,16,1,1,4,warp-per-shift-shared-memory,16_128_True_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6791,221116,16,256,16,0,0,1,warp-per-shift-shared-memory,16_256_False_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,9338,160626,16,256,16,0,1,1,warp-per-shift-shared-memory,16_256_False_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5475,273875,16,256,16,1,0,1,warp-per-shift-shared-memory,16_256_True_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8012,187194,16,256,16,1,1,1,warp-per-shift-shared-memory,16_256_True_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
