,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,674503,223,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,674568,223,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,674549,223,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,674549,223,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,674554,223,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,674558,223,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,674572,223,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,674554,223,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,674568,223,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,674563,223,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,457893,328,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,457865,328,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,457868,328,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,457880,328,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,457896,328,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,457880,328,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,457852,328,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,457871,328,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,457852,328,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,457868,328,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,349034,431,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,348988,430,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,348983,430,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,348983,430,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,348962,430,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,349007,430,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,348955,430,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,348952,430,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,348976,430,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,348972,430,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,304358,493,4,8,multimat-right,4_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,304005,494,4,8,multimat-right,4_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,303982,494,4,8,multimat-right,4_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,304026,494,4,8,multimat-right,4_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
