,Kernel,Kernel_iterations,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,74460840,3,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,74530131,3,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,74458796,3,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,74536961,3,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,74457427,3,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,74469034,3,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,74462890,3,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,74533203,3,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,74458796,3,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,74608983,3,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,228021697,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,205680450,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,226834747,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,205898208,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,205344894,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,226400543,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,205617370,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,205357955,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,205948287,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,205351898,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,716835937,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
1,723572387,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
2,720201843,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
3,708310485,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
4,722809997,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
5,717957214,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
6,720631042,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
7,713324707,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
8,721374755,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
9,707557373,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
0,3589427490,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
1,3588624267,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
2,3588907226,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
3,3588315917,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
4,3588791503,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
5,3588680419,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
6,3590372558,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
7,3588712158,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
8,3590010009,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
9,3588887939,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
0,28396775390,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
1,28785429687,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
2,26149455078,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
3,27604703125,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
4,28279558593,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
5,28637703125,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
6,27280734375,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
7,28115835937,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
8,28509064453,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
9,27928992187,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
