,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,8408,18668,2474,60596,7678,20445,64068,1,10140504,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
1,8333,18836,2474,60596,7618,20606,103336,1,4545563,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
2,8409,18668,2474,60596,7682,20436,101273,1,4286521,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
3,8336,18827,2474,60596,7656,20525,100612,1,5362380,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
4,8404,18674,2474,60596,7675,20457,102566,1,5130128,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
5,8335,18830,2474,60596,7672,20461,105660,1,4825507,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
6,8408,18667,2474,60594,7681,20440,103968,1,4822872,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
7,8336,18825,2474,60591,7677,20448,103396,1,4855823,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
8,8335,18828,2474,60594,7671,20465,109305,1,4560886,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
9,8409,18668,2474,60586,7676,20452,100713,1,5186143,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,7561,20767,2474,60596,7888,19892,65169,1,379326808,1,256,fft,,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
1,7480,20982,2473,60601,7901,19890,104979,1,5615613,1,256,fft,,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
2,7488,20966,2474,60591,7898,19877,110036,1,5397633,1,256,fft,,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
3,7534,20817,2474,60594,7897,19882,104739,1,4528777,1,256,fft,,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
4,7565,20761,2474,60594,7901,19869,100302,1,4906660,1,256,fft,,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
5,7534,20820,2474,60596,7896,19884,103066,1,4778255,1,256,fft,,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
6,7561,20767,2474,60594,7899,19898,105099,1,5002024,1,256,fft,,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
7,7543,20802,2474,60591,7902,19869,103036,1,4343556,1,256,fft,,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
8,7534,20817,2474,60599,7901,19870,100362,1,4400223,1,256,fft,,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
9,7568,20739,2474,60591,7900,19872,101213,1,5139893,1,256,fft,,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,7344,21389,2474,60594,7193,21835,62355,1,10017207,1,256,fft,,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
1,7283,21560,2474,60596,7170,21894,105319,1,4862192,1,256,fft,,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
2,7344,21384,2473,60596,7267,21720,102846,1,4949645,1,256,fft,,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
3,7278,21579,2474,60596,7203,21816,108704,1,4185338,1,256,fft,,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
4,7340,21390,2473,60601,7219,21755,108194,1,5370923,1,256,fft,,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
5,7351,21397,2474,60601,7172,21891,103908,1,5052320,1,256,fft,,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
6,7330,21417,2474,60599,7197,21817,99210,1,5061564,1,256,fft,,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
7,7331,21387,2473,60601,7218,21756,103086,1,5068525,1,256,fft,,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
8,7352,21376,2474,60599,7161,21818,98830,1,4977817,1,256,fft,,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
9,7330,21433,2473,60599,7169,21905,114974,1,3924623,1,256,fft,,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,9069,17301,2596,57838,8966,17503,74423,1,305006165,1,256,fft,,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
1,9086,17272,2596,57772,8935,17560,103086,1,4877686,1,256,fft,,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
2,9070,17297,2596,57726,8982,17473,104257,1,4548798,1,256,fft,,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
3,9087,17263,2593,57867,8962,17505,104268,1,4710142,1,256,fft,,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
4,9082,17274,2602,57658,8951,17533,102976,1,4715740,1,256,fft,,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
5,9071,17298,2594,57799,8954,17529,104208,1,4474335,1,256,fft,,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
6,9069,17301,2599,57599,8960,17513,103557,1,4698724,1,256,fft,,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
7,9070,17300,2597,57722,8957,17519,103417,1,4511792,1,256,fft,,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
8,9086,17266,2601,57678,8950,17533,111679,1,4056332,1,256,fft,,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
9,9071,17297,2594,57765,8941,17546,102205,1,4905248,1,256,fft,,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,9465,16575,2651,56523,9328,16821,71148,1,9287746,1,256,fft,,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
1,9461,16586,2657,56515,9325,16822,104028,1,3852655,1,256,fft,,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
2,9463,16580,2657,56504,9266,16931,109135,1,3312016,1,256,fft,,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
3,9398,16694,2657,56545,9272,16922,104829,1,4695771,1,256,fft,,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
4,9400,16689,2656,56467,9268,16929,100352,1,4825227,1,256,fft,,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
5,9400,16689,2658,56419,9269,16928,101814,1,4361525,1,256,fft,,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
6,9400,16692,2657,56408,9328,16822,100653,1,4016092,1,256,fft,,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
7,9462,16582,2657,56523,9326,16821,99490,1,4847001,1,256,fft,,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
