,Kernel,Kernel_iterations,shifts_per_thread_block,shared_mem_row_size,shared_mem_rows,strided_load,column_group_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,6865,218699,8,32,8,0,0,warp-per-shift-shared-memory,8_32_False_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,6865,218621,8,32,8,0,1,warp-per-shift-shared-memory,8_32_False_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5740,261249,8,32,8,1,0,warp-per-shift-shared-memory,8_32_True_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5743,261202,8,32,8,1,1,warp-per-shift-shared-memory,8_32_True_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,6864,218634,8,128,8,0,0,warp-per-shift-shared-memory,8_128_False_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,6864,218644,8,128,8,0,1,warp-per-shift-shared-memory,8_128_False_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5744,261025,8,128,8,1,0,warp-per-shift-shared-memory,8_128_True_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5747,261127,8,128,8,1,1,warp-per-shift-shared-memory,8_128_True_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,6864,218663,8,256,8,0,0,warp-per-shift-shared-memory,8_256_False_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,6864,218631,8,256,8,0,1,warp-per-shift-shared-memory,8_256_False_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5740,261262,8,256,8,1,0,warp-per-shift-shared-memory,8_256_True_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5738,261342,8,256,8,1,1,warp-per-shift-shared-memory,8_256_True_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5954,252086,16,32,16,0,0,warp-per-shift-shared-memory,16_32_False_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5949,252386,16,32,16,0,1,warp-per-shift-shared-memory,16_32_False_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5029,298090,16,32,16,1,0,warp-per-shift-shared-memory,16_32_True_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5000,299511,16,32,16,1,1,warp-per-shift-shared-memory,16_32_True_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5954,252099,16,128,16,0,0,warp-per-shift-shared-memory,16_128_False_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5955,252043,16,128,16,0,1,warp-per-shift-shared-memory,16_128_False_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5033,297763,16,128,16,1,0,warp-per-shift-shared-memory,16_128_True_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5033,297781,16,128,16,1,1,warp-per-shift-shared-memory,16_128_True_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5953,252299,16,256,16,0,0,warp-per-shift-shared-memory,16_256_False_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5950,252221,16,256,16,0,1,warp-per-shift-shared-memory,16_256_False_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5027,298030,16,256,16,1,0,warp-per-shift-shared-memory,16_256_True_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4992,299964,16,256,16,1,1,warp-per-shift-shared-memory,16_256_True_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,6630,226438,32,32,32,0,0,warp-per-shift-shared-memory,32_32_False_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,6631,226476,32,32,32,0,1,warp-per-shift-shared-memory,32_32_False_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5484,273338,32,32,32,1,0,warp-per-shift-shared-memory,32_32_True_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5498,272758,32,32,32,1,1,warp-per-shift-shared-memory,32_32_True_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,6630,226480,32,128,32,0,0,warp-per-shift-shared-memory,32_128_False_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,6630,226480,32,128,32,0,1,warp-per-shift-shared-memory,32_128_False_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5498,272834,32,128,32,1,0,warp-per-shift-shared-memory,32_128_True_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5483,273481,32,128,32,1,1,warp-per-shift-shared-memory,32_128_True_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,9267,161817,8,32,8,0,0,warp-per-shift-shared-memory,8_32_False_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
