,Kernel,Kernel_iterations,shifts_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,8318,18032,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
1,8319,18030,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
2,8318,18033,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
3,8318,18033,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
4,8318,18032,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
5,8321,18034,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
6,8320,18032,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
7,8320,18033,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
8,8319,18030,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
9,8319,18027,4,warp-per-shift-simple-indexing,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,8114,18447,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
1,8127,18420,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
2,8137,18451,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
3,8127,18382,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
4,8144,18482,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
5,8115,18426,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
6,8138,18373,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
7,8135,18475,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
8,8128,18414,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
9,8128,18400,16,warp-per-shift-simple-indexing,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,8831,16988,32,warp-per-shift-simple-indexing,32,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
1,8831,16987,32,warp-per-shift-simple-indexing,32,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
2,8831,16986,32,warp-per-shift-simple-indexing,32,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
3,8830,16985,32,warp-per-shift-simple-indexing,32,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
4,8831,16985,32,warp-per-shift-simple-indexing,32,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
5,8831,16985,32,warp-per-shift-simple-indexing,32,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
6,8830,16984,32,warp-per-shift-simple-indexing,32,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
7,8829,16985,32,warp-per-shift-simple-indexing,32,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
8,8831,16986,32,warp-per-shift-simple-indexing,32,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
9,8831,16983,32,warp-per-shift-simple-indexing,32,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,11094,10000,4,warp-per-shift-simple-indexing,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
