,Kernel,Kernel_iterations,shifts_per_thread_block,rows_per_warp,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,8754,171323,4,1,rectangle,warp-per-shift-work-distribution,4_1_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,8766,171171,4,1,triangle,warp-per-shift-work-distribution,4_1_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5829,257243,4,8,rectangle,warp-per-shift-work-distribution,4_8_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,6006,249774,4,8,triangle,warp-per-shift-work-distribution,4_8_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5989,250222,4,16,rectangle,warp-per-shift-work-distribution,4_16_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,6208,241560,4,16,triangle,warp-per-shift-work-distribution,4_16_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,9113,164614,16,1,rectangle,warp-per-shift-work-distribution,16_1_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,8715,172092,16,1,triangle,warp-per-shift-work-distribution,16_1_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,6011,249128,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,6136,244357,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,6207,241143,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,6502,230732,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,9643,155479,32,1,rectangle,warp-per-shift-work-distribution,32_1_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,9601,156219,32,1,triangle,warp-per-shift-work-distribution,32_1_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,6436,232996,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,6912,217021,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,6878,218165,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,7208,207966,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,18350,81737,4,1,rectangle,warp-per-shift-work-distribution,4_1_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,18690,80251,4,1,triangle,warp-per-shift-work-distribution,4_1_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,9024,166141,4,8,rectangle,warp-per-shift-work-distribution,4_8_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,9239,162335,4,8,triangle,warp-per-shift-work-distribution,4_8_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,8298,180720,4,16,rectangle,warp-per-shift-work-distribution,4_16_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,8516,176163,4,16,triangle,warp-per-shift-work-distribution,4_16_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,18642,80461,16,1,rectangle,warp-per-shift-work-distribution,16_1_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,18678,80290,16,1,triangle,warp-per-shift-work-distribution,16_1_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,9549,157028,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,9583,156531,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,9058,165589,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,9051,165761,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,22879,65549,32,1,rectangle,warp-per-shift-work-distribution,32_1_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,23181,64707,32,1,triangle,warp-per-shift-work-distribution,32_1_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,10377,144588,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,10594,141467,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,11067,135570,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,10615,140202,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,36742,40837,4,1,rectangle,warp-per-shift-work-distribution,4_1_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,36340,41276,4,1,triangle,warp-per-shift-work-distribution,4_1_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,13160,113959,4,8,rectangle,warp-per-shift-work-distribution,4_8_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,13714,109365,4,8,triangle,warp-per-shift-work-distribution,4_8_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,11126,134823,4,16,rectangle,warp-per-shift-work-distribution,4_16_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,11722,127921,4,16,triangle,warp-per-shift-work-distribution,4_16_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,36058,41595,16,1,rectangle,warp-per-shift-work-distribution,16_1_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,36614,40972,16,1,triangle,warp-per-shift-work-distribution,16_1_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,13893,107960,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,13920,107751,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,11940,125610,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,13014,115264,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,39368,38099,32,1,rectangle,warp-per-shift-work-distribution,32_1_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,39543,37936,32,1,triangle,warp-per-shift-work-distribution,32_1_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,14853,100978,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,14054,106708,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,12218,122774,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,13070,114751,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,118729,10000,4,1,rectangle,warp-per-shift-work-distribution,4_1_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,117901,10000,4,1,triangle,warp-per-shift-work-distribution,4_1_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,30416,49303,4,8,rectangle,warp-per-shift-work-distribution,4_8_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,32229,46544,4,8,triangle,warp-per-shift-work-distribution,4_8_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,26330,56980,4,16,rectangle,warp-per-shift-work-distribution,4_16_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,26050,57571,4,16,triangle,warp-per-shift-work-distribution,4_16_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,116577,10000,16,1,rectangle,warp-per-shift-work-distribution,16_1_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,119316,10000,16,1,triangle,warp-per-shift-work-distribution,16_1_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,31454,47687,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,32986,45472,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,27425,54742,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,27266,55007,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,127558,10000,32,1,rectangle,warp-per-shift-work-distribution,32_1_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,130824,10000,32,1,triangle,warp-per-shift-work-distribution,32_1_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,34404,43607,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,35258,42534,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,29370,51081,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,29118,51529,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,290179,5168,4,1,rectangle,warp-per-shift-work-distribution,4_1_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,283572,5287,4,1,triangle,warp-per-shift-work-distribution,4_1_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
