,Kernel,Kernel_iterations,warps_per_thread_block,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,5901,254455,4,1,rectangle,basic-work_distribution,4_1_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5852,256209,4,1,triangle,basic-work_distribution,4_1_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,7082,211812,4,2,rectangle,basic-work_distribution,4_2_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,7018,213809,4,2,triangle,basic-work_distribution,4_2_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,8839,169713,4,4,rectangle,basic-work_distribution,4_4_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,9095,164942,4,4,triangle,basic-work_distribution,4_4_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,13001,115410,4,8,rectangle,basic-work_distribution,4_8_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,13049,115126,4,8,triangle,basic-work_distribution,4_8_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,21078,71161,4,16,rectangle,basic-work_distribution,4_16_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,21014,71373,4,16,triangle,basic-work_distribution,4_16_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5850,256496,8,1,rectangle,basic-work_distribution,8_1_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,6112,245500,8,1,triangle,basic-work_distribution,8_1_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,6827,219670,8,2,rectangle,basic-work_distribution,8_2_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,7302,205359,8,2,triangle,basic-work_distribution,8_2_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,8946,167726,8,4,rectangle,basic-work_distribution,8_4_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,9359,160207,8,4,triangle,basic-work_distribution,8_4_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,13007,115317,8,8,rectangle,basic-work_distribution,8_8_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,13550,110670,8,8,triangle,basic-work_distribution,8_8_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,20877,71841,8,16,rectangle,basic-work_distribution,8_16_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,20958,71603,8,16,triangle,basic-work_distribution,8_16_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,7646,196084,4,1,rectangle,basic-work_distribution,4_1_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,7185,208703,4,1,triangle,basic-work_distribution,4_1_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,8104,185079,4,2,rectangle,basic-work_distribution,4_2_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,8082,185520,4,2,triangle,basic-work_distribution,4_2_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,10173,147474,4,4,rectangle,basic-work_distribution,4_4_rectangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,10289,145787,4,4,triangle,basic-work_distribution,4_4_triangle,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
