,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,691983,217,4,1,1,basic-multirow_both,4_1_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,692016,217,4,1,1,basic-multirow_both,4_1_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,692153,217,4,1,1,basic-multirow_both,4_1_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,692068,217,4,1,1,basic-multirow_both,4_1_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,692006,217,4,1,1,basic-multirow_both,4_1_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,691992,217,4,1,1,basic-multirow_both,4_1_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,691955,217,4,1,1,basic-multirow_both,4_1_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,691973,217,4,1,1,basic-multirow_both,4_1_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,691945,217,4,1,1,basic-multirow_both,4_1_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,691922,217,4,1,1,basic-multirow_both,4_1_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,697577,215,4,1,2,basic-multirow_both,4_1_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,697367,216,4,1,2,basic-multirow_both,4_1_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,697671,216,4,1,2,basic-multirow_both,4_1_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,697358,215,4,1,2,basic-multirow_both,4_1_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,697372,216,4,1,2,basic-multirow_both,4_1_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,697467,216,4,1,2,basic-multirow_both,4_1_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,697159,216,4,1,2,basic-multirow_both,4_1_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,697448,215,4,1,2,basic-multirow_both,4_1_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,697547,216,4,1,2,basic-multirow_both,4_1_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,697495,216,4,1,2,basic-multirow_both,4_1_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,698753,215,4,1,4,basic-multirow_both,4_1_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,698768,215,4,1,4,basic-multirow_both,4_1_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,698734,215,4,1,4,basic-multirow_both,4_1_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,698829,215,4,1,4,basic-multirow_both,4_1_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,698877,215,4,1,4,basic-multirow_both,4_1_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,698772,215,4,1,4,basic-multirow_both,4_1_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,698529,215,4,1,4,basic-multirow_both,4_1_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,698639,215,4,1,4,basic-multirow_both,4_1_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,698844,215,4,1,4,basic-multirow_both,4_1_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,698710,215,4,1,4,basic-multirow_both,4_1_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,700368,215,4,1,8,basic-multirow_both,4_1_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,700344,215,4,1,8,basic-multirow_both,4_1_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,700311,215,4,1,8,basic-multirow_both,4_1_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,700406,215,4,1,8,basic-multirow_both,4_1_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,700382,215,4,1,8,basic-multirow_both,4_1_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,700411,215,4,1,8,basic-multirow_both,4_1_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,700354,215,4,1,8,basic-multirow_both,4_1_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,700449,215,4,1,8,basic-multirow_both,4_1_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,700349,215,4,1,8,basic-multirow_both,4_1_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,700392,215,4,1,8,basic-multirow_both,4_1_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,502948,298,4,2,1,basic-multirow_both,4_2_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,503119,299,4,2,1,basic-multirow_both,4_2_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,502910,299,4,2,1,basic-multirow_both,4_2_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,503003,299,4,2,1,basic-multirow_both,4_2_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,503041,298,4,2,1,basic-multirow_both,4_2_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,503205,299,4,2,1,basic-multirow_both,4_2_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,502712,299,4,2,1,basic-multirow_both,4_2_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,502910,299,4,2,1,basic-multirow_both,4_2_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,502962,299,4,2,1,basic-multirow_both,4_2_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,503003,299,4,2,1,basic-multirow_both,4_2_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,455655,329,4,2,2,basic-multirow_both,4_2_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,455344,330,4,2,2,basic-multirow_both,4_2_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,455614,329,4,2,2,basic-multirow_both,4_2_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,455757,330,4,2,2,basic-multirow_both,4_2_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,455711,330,4,2,2,basic-multirow_both,4_2_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,455673,330,4,2,2,basic-multirow_both,4_2_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,455732,330,4,2,2,basic-multirow_both,4_2_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,455661,330,4,2,2,basic-multirow_both,4_2_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,455717,330,4,2,2,basic-multirow_both,4_2_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,455518,330,4,2,2,basic-multirow_both,4_2_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,445078,337,4,2,4,basic-multirow_both,4_2_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,445034,338,4,2,4,basic-multirow_both,4_2_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,444928,338,4,2,4,basic-multirow_both,4_2_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,444967,338,4,2,4,basic-multirow_both,4_2_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,444975,337,4,2,4,basic-multirow_both,4_2_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,444937,338,4,2,4,basic-multirow_both,4_2_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,444876,338,4,2,4,basic-multirow_both,4_2_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,445031,338,4,2,4,basic-multirow_both,4_2_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,444994,338,4,2,4,basic-multirow_both,4_2_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,444979,338,4,2,4,basic-multirow_both,4_2_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,464571,322,4,2,8,basic-multirow_both,4_2_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,464715,323,4,2,8,basic-multirow_both,4_2_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,464794,323,4,2,8,basic-multirow_both,4_2_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,464702,323,4,2,8,basic-multirow_both,4_2_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,464521,323,4,2,8,basic-multirow_both,4_2_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,464487,323,4,2,8,basic-multirow_both,4_2_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,464556,323,4,2,8,basic-multirow_both,4_2_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,464655,323,4,2,8,basic-multirow_both,4_2_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,464781,323,4,2,8,basic-multirow_both,4_2_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,464455,323,4,2,8,basic-multirow_both,4_2_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,418185,359,4,4,1,basic-multirow_both,4_4_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,418065,359,4,4,1,basic-multirow_both,4_4_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,418319,359,4,4,1,basic-multirow_both,4_4_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
