,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,left_matrices_per_thread,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,2487310,635,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,2540204,597,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,2542202,596,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,2547155,596,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,2560036,591,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,2560034,593,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,2560043,592,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,2560041,593,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,2560042,590,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,2560043,593,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,2502897,631,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,2545300,615,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,2578995,591,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,2581013,586,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,2581023,586,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,2581019,587,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,2550170,613,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,2579008,588,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,2590149,596,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,2614497,578,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,2478566,632,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,2554585,602,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,2561275,591,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,2561294,592,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,2561274,592,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,2557821,598,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,2553615,602,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,2561271,592,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,2561276,592,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,2561271,592,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1798629,919,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1845304,847,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1893822,811,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1904379,801,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1917763,800,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1917762,799,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1918275,794,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1917238,799,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
