,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,5445,28847,2068,72926,4973,31643,71318,1,14658818,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,5455,28832,2059,72817,4971,31640,100652,1,3710537,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,5506,28622,2059,72443,4969,31641,98699,1,3876548,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,5476,28741,2059,72827,4971,31638,97678,1,3756105,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,5450,28889,2056,72625,4974,31656,97818,1,3886322,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,5486,28618,2058,72755,4973,31619,97047,1,3959664,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,5466,28808,2058,72665,4973,31637,97407,1,3115556,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,5482,28707,2059,72651,4973,31644,96916,1,3422020,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,5444,28785,2057,72278,4988,31555,97829,1,3468500,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,5478,28743,2067,72704,4975,31652,95955,1,3231802,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,5469,28750,2032,73971,5002,31464,76957,1,12472258,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
1,5480,28714,2033,74233,5006,31436,102605,1,3524845,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
2,5484,28696,2032,74211,5005,31444,98209,1,3822356,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
3,5479,28715,2033,74185,5004,31452,98469,1,3702835,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
4,5479,28714,2032,74162,4951,31786,99530,1,3853703,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
5,5539,28412,2019,73681,4951,31782,99250,1,3645098,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
6,5513,28528,2019,73697,4951,31781,98068,1,3653821,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
7,5539,28421,2018,73763,4951,31779,99711,1,3727091,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
8,5513,28534,2019,73548,5004,31437,98159,1,4038833,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
9,5484,28693,2032,74046,4951,31772,100422,1,3508230,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
0,5482,28637,2130,69941,5098,30864,75434,1,11468678,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
1,5514,28560,2128,70166,5021,31344,99721,1,3039440,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
2,5556,28312,2141,69988,5099,30866,99611,1,3060683,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
3,5514,28558,2130,70021,5098,30868,178180,1,4242311,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
4,5483,28685,2128,69772,5021,31339,98760,1,3231171,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
5,5556,28308,2144,69669,5021,31349,109256,1,2980030,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
6,5556,28309,2141,70226,5099,30864,179111,1,3702024,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
7,5512,28567,2129,70226,5020,31345,99441,1,3283429,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
8,5556,28309,2143,70381,5021,31338,100793,1,3203388,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
9,5556,28309,2143,70357,5020,31345,106411,1,3248136,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
0,4759,33125,2140,70136,4601,34211,73101,1,12624789,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
1,4646,33887,2147,69577,4594,34284,111549,1,3655182,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
2,4645,33900,2151,69835,4594,34275,98760,1,3593469,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
3,4645,33896,2149,70024,4643,33911,98800,1,3569523,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
4,4752,33129,2139,69918,4594,34281,103636,1,3548451,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
5,4645,33890,2148,69661,4600,34214,97477,1,3416071,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
6,4646,33899,2151,69908,4642,33911,94333,1,3642614,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
7,4754,33113,2140,70392,4594,34260,97037,1,3596284,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
8,4646,33890,2146,70146,4643,33918,97838,1,3229659,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
9,4746,33195,2139,70033,4643,33915,96657,1,3276279,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
0,4805,32757,2148,69821,4644,33895,81172,1,12545040,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
1,4803,32767,2148,69835,4644,33899,100632,1,3697316,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
2,4803,32765,2148,69837,4644,33901,97998,1,3700031,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
3,4802,32772,2149,69821,4644,33902,100272,1,3590525,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
4,4808,32735,2148,69828,4679,33651,99170,1,3844779,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
5,4797,32815,2155,69616,4644,33901,98259,1,3776727,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
6,4806,32751,2148,69801,4643,33903,98369,1,3847674,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
7,4807,32751,2148,69885,4644,33901,98219,1,4121518,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
