,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,16451,9121,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,16464,9102,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,16482,9086,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,16477,9078,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,16492,9088,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,16499,9050,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,16522,9044,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,16508,9065,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,16479,9072,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,16496,9053,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,13403,11188,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,13412,10000,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,13456,10000,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,13444,10000,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,13430,10000,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,13445,10000,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
