,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,9745,15379,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,9749,15380,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,9783,15327,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,9793,15316,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,9760,15353,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,9782,15344,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,9794,15308,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,9774,15335,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,9771,15341,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,9786,15316,4,1,1,rectangle,20,multimat-right-work-distribution,4_1_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,9428,15886,4,1,1,triangle,20,multimat-right-work-distribution,4_1_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,9448,15867,4,1,1,triangle,20,multimat-right-work-distribution,4_1_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
