,Kernel,Kernel_iterations,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,41135,3645,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,41132,3644,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,41134,3644,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,41140,3645,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,41135,3644,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,41138,3644,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,41136,3625,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,41139,3643,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,41139,3646,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,41136,3644,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,41211,3638,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
1,41208,3638,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
2,41212,3638,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
3,41210,3640,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
4,41209,3638,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
5,41215,3638,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
6,41212,3639,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
7,41211,3638,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
8,41213,3639,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
9,41210,3639,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
0,41200,3640,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
1,41199,3641,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
2,41203,3639,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
3,41200,3639,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
4,41197,3638,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
5,41200,3638,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
6,41201,3639,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
7,41200,3641,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
8,41203,3638,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
9,41200,3639,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
0,116249,1290,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
1,116292,1291,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
2,116260,1290,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
3,116282,1291,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
4,116292,1291,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
5,116260,1290,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
6,116269,1290,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
7,116290,1290,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
8,116274,1291,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
9,116249,1290,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
0,116903,1283,original,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
1,116923,1282,original,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
2,116906,1283,original,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
3,116900,1283,original,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
4,116908,1284,original,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
5,116918,1283,original,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
6,116914,1284,original,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
7,116898,1283,original,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
8,116912,1284,original,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
9,116913,1283,original,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
0,118678,1264,original,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
1,118698,1264,original,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
2,118685,1264,original,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
3,118689,1264,original,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
4,118705,1264,original,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
5,118669,1265,original,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
6,118704,1264,original,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
7,118671,1264,original,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
8,118698,1264,original,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
9,118676,1264,original,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
0,396201,379,original,,64_64_2_8,40960,64,64,4096,2,8,2x8,n_to_mn
1,396186,379,original,,64_64_2_8,40960,64,64,4096,2,8,2x8,n_to_mn
2,396225,379,original,,64_64_2_8,40960,64,64,4096,2,8,2x8,n_to_mn
3,396212,379,original,,64_64_2_8,40960,64,64,4096,2,8,2x8,n_to_mn
4,396246,379,original,,64_64_2_8,40960,64,64,4096,2,8,2x8,n_to_mn
5,396252,379,original,,64_64_2_8,40960,64,64,4096,2,8,2x8,n_to_mn
6,396217,379,original,,64_64_2_8,40960,64,64,4096,2,8,2x8,n_to_mn
7,396190,379,original,,64_64_2_8,40960,64,64,4096,2,8,2x8,n_to_mn
8,396206,379,original,,64_64_2_8,40960,64,64,4096,2,8,2x8,n_to_mn
9,396252,379,original,,64_64_2_8,40960,64,64,4096,2,8,2x8,n_to_mn
0,402729,373,original,,64_64_4_16,81920,64,64,4096,4,16,4x16,n_to_mn
1,402791,373,original,,64_64_4_16,81920,64,64,4096,4,16,4x16,n_to_mn
2,402830,373,original,,64_64_4_16,81920,64,64,4096,4,16,4x16,n_to_mn
3,402786,373,original,,64_64_4_16,81920,64,64,4096,4,16,4x16,n_to_mn
4,402796,373,original,,64_64_4_16,81920,64,64,4096,4,16,4x16,n_to_mn
5,402799,373,original,,64_64_4_16,81920,64,64,4096,4,16,4x16,n_to_mn
6,402837,373,original,,64_64_4_16,81920,64,64,4096,4,16,4x16,n_to_mn
7,402794,373,original,,64_64_4_16,81920,64,64,4096,4,16,4x16,n_to_mn
8,402769,373,original,,64_64_4_16,81920,64,64,4096,4,16,4x16,n_to_mn
9,402876,373,original,,64_64_4_16,81920,64,64,4096,4,16,4x16,n_to_mn
0,646258,233,original,,64_64_8_32,163840,64,64,4096,8,32,8x32,n_to_mn
1,646359,233,original,,64_64_8_32,163840,64,64,4096,8,32,8x32,n_to_mn
2,646345,233,original,,64_64_8_32,163840,64,64,4096,8,32,8x32,n_to_mn
3,646376,233,original,,64_64_8_32,163840,64,64,4096,8,32,8x32,n_to_mn
4,646328,233,original,,64_64_8_32,163840,64,64,4096,8,32,8x32,n_to_mn
5,646375,233,original,,64_64_8_32,163840,64,64,4096,8,32,8x32,n_to_mn
6,646284,233,original,,64_64_8_32,163840,64,64,4096,8,32,8x32,n_to_mn
7,646353,233,original,,64_64_8_32,163840,64,64,4096,8,32,8x32,n_to_mn
8,646375,233,original,,64_64_8_32,163840,64,64,4096,8,32,8x32,n_to_mn
9,646426,233,original,,64_64_8_32,163840,64,64,4096,8,32,8x32,n_to_mn
0,2005579,70,original,,128_128_2_8,163840,128,128,16384,2,8,2x8,n_to_mn
1,2006439,75,original,,128_128_2_8,163840,128,128,16384,2,8,2x8,n_to_mn
2,2006179,75,original,,128_128_2_8,163840,128,128,16384,2,8,2x8,n_to_mn
3,2007817,75,original,,128_128_2_8,163840,128,128,16384,2,8,2x8,n_to_mn
4,2006068,75,original,,128_128_2_8,163840,128,128,16384,2,8,2x8,n_to_mn
5,2006671,75,original,,128_128_2_8,163840,128,128,16384,2,8,2x8,n_to_mn
