,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,379964,395,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,379535,396,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,379563,396,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,379515,396,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,379474,396,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,379628,396,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,379560,396,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,379491,396,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,379539,396,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,379526,396,4,1,1,1,20,multimat-right-multirow-both,4_1_1_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,382202,393,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,382328,393,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,382298,393,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,382278,393,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,382312,393,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,382277,393,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,382301,393,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,382253,393,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,382301,393,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,384479,391,4,1,1,2,20,multimat-right-multirow-both,4_1_1_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,378378,397,4,1,1,4,20,multimat-right-multirow-both,4_1_1_4,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
