,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,11855,126529,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8917,168200,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8984,166931,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,14404,104145,4,2,1,1,multimat-right-multirow-both,4_1_2_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10164,147564,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,11615,129173,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,18752,79990,4,4,1,1,multimat-right-multirow-both,4_1_4_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,19524,76829,4,4,1,2,multimat-right-multirow-both,4_1_4_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,13282,112930,4,4,1,4,multimat-right-multirow-both,4_1_4_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,14430,103923,4,1,2,1,multimat-right-multirow-both,4_2_1_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,14686,102137,4,1,2,2,multimat-right-multirow-both,4_2_1_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,12958,115754,4,1,2,4,multimat-right-multirow-both,4_2_1_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,16952,88491,4,2,2,1,multimat-right-multirow-both,4_2_2_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,17961,83510,4,2,2,2,multimat-right-multirow-both,4_2_2_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,13937,107602,4,2,2,4,multimat-right-multirow-both,4_2_2_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,21242,70602,4,4,2,1,multimat-right-multirow-both,4_2_4_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,33081,45344,4,4,2,2,multimat-right-multirow-both,4_2_4_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,14657,102365,4,4,2,4,multimat-right-multirow-both,4_2_4_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,14054,106730,4,1,4,1,multimat-right-multirow-both,4_4_1_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,11907,126009,4,1,4,2,multimat-right-multirow-both,4_4_1_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,12039,124612,4,1,4,4,multimat-right-multirow-both,4_4_1_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
