,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,4272,351046,4,1,1,rectangle,multimat-right-work-distribution,4_1_1_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4195,358538,4,1,1,triangle,multimat-right-work-distribution,4_1_1_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6141,244206,4,1,4,rectangle,multimat-right-work-distribution,4_1_4_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6142,244190,4,1,4,triangle,multimat-right-work-distribution,4_1_4_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8945,167676,4,1,8,rectangle,multimat-right-work-distribution,4_1_8_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8636,173677,4,1,8,triangle,multimat-right-work-distribution,4_1_8_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,13903,107887,4,1,16,rectangle,multimat-right-work-distribution,4_1_16_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,13619,110143,4,1,16,triangle,multimat-right-work-distribution,4_1_16_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4115,364417,4,2,1,rectangle,multimat-right-work-distribution,4_2_1_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4272,351063,4,2,1,triangle,multimat-right-work-distribution,4_2_1_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6297,238155,4,2,4,rectangle,multimat-right-work-distribution,4_2_4_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6453,232412,4,2,4,triangle,multimat-right-work-distribution,4_2_4_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,9103,164761,4,2,8,rectangle,multimat-right-work-distribution,4_2_8_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,9104,164755,4,2,8,triangle,multimat-right-work-distribution,4_2_8_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,14560,103017,4,2,16,rectangle,multimat-right-work-distribution,4_2_16_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,14716,101925,4,2,16,triangle,multimat-right-work-distribution,4_2_16_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4271,351189,4,4,1,rectangle,multimat-right-work-distribution,4_4_1_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4396,340933,4,4,1,triangle,multimat-right-work-distribution,4_4_1_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6609,226922,4,4,4,rectangle,multimat-right-work-distribution,4_4_4_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6765,221695,4,4,4,triangle,multimat-right-work-distribution,4_4_4_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,9727,154195,4,4,8,rectangle,multimat-right-work-distribution,4_4_8_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,9737,154060,4,4,8,triangle,multimat-right-work-distribution,4_4_8_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,15803,94913,4,4,16,rectangle,multimat-right-work-distribution,4_4_16_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,15938,94106,4,4,16,triangle,multimat-right-work-distribution,4_4_16_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4271,351282,4,8,1,rectangle,multimat-right-work-distribution,4_8_1_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4271,351038,4,8,1,triangle,multimat-right-work-distribution,4_8_1_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6573,228479,4,8,4,rectangle,multimat-right-work-distribution,4_8_4_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6611,226877,4,8,4,triangle,multimat-right-work-distribution,4_8_4_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,9494,158042,4,8,8,rectangle,multimat-right-work-distribution,4_8_8_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,9555,157016,4,8,8,triangle,multimat-right-work-distribution,4_8_8_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,15447,97143,4,8,16,rectangle,multimat-right-work-distribution,4_8_16_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,15508,96745,4,8,16,triangle,multimat-right-work-distribution,4_8_16_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4271,351147,8,1,1,rectangle,multimat-right-work-distribution,8_1_1_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4426,338897,8,1,1,triangle,multimat-right-work-distribution,8_1_1_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6550,228981,8,1,4,rectangle,multimat-right-work-distribution,8_1_4_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6609,226939,8,1,4,triangle,multimat-right-work-distribution,8_1_4_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,9390,159731,8,1,8,rectangle,multimat-right-work-distribution,8_1_8_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,9568,156777,8,1,8,triangle,multimat-right-work-distribution,8_1_8_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,15119,99196,8,1,16,rectangle,multimat-right-work-distribution,8_1_16_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,15019,99874,8,1,16,triangle,multimat-right-work-distribution,8_1_16_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4428,338711,8,2,1,rectangle,multimat-right-work-distribution,8_2_1_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4582,327230,8,2,1,triangle,multimat-right-work-distribution,8_2_1_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7385,203116,8,2,4,rectangle,multimat-right-work-distribution,8_2_4_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7385,203133,8,2,4,triangle,multimat-right-work-distribution,8_2_4_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10678,140516,8,2,8,rectangle,multimat-right-work-distribution,8_2_8_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10613,141391,8,2,8,triangle,multimat-right-work-distribution,8_2_8_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,16748,89572,8,2,16,rectangle,multimat-right-work-distribution,8_2_16_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,16897,88786,8,2,16,triangle,multimat-right-work-distribution,8_2_16_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4574,327911,8,4,1,rectangle,multimat-right-work-distribution,8_4_1_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4683,320059,8,4,1,triangle,multimat-right-work-distribution,8_4_1_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7448,201354,8,4,4,rectangle,multimat-right-work-distribution,8_4_4_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7539,198944,8,4,4,triangle,multimat-right-work-distribution,8_4_4_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10873,137942,8,4,8,rectangle,multimat-right-work-distribution,8_4_8_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10923,137327,8,4,8,triangle,multimat-right-work-distribution,8_4_8_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,17544,85498,8,4,16,rectangle,multimat-right-work-distribution,8_4_16_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,17676,84858,8,4,16,triangle,multimat-right-work-distribution,8_4_16_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4555,330269,8,8,1,rectangle,multimat-right-work-distribution,8_8_1_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4643,323279,8,8,1,triangle,multimat-right-work-distribution,8_8_1_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7389,202994,8,8,4,rectangle,multimat-right-work-distribution,8_8_4_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7491,200299,8,8,4,triangle,multimat-right-work-distribution,8_8_4_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10818,138667,8,8,8,rectangle,multimat-right-work-distribution,8_8_8_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10867,138028,8,8,8,triangle,multimat-right-work-distribution,8_8_8_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,17338,86530,8,8,16,rectangle,multimat-right-work-distribution,8_8_16_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,17476,85831,8,8,16,triangle,multimat-right-work-distribution,8_8_16_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5682,264408,4,1,1,rectangle,multimat-right-work-distribution,4_1_1_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5261,284757,4,1,1,triangle,multimat-right-work-distribution,4_1_1_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6587,227691,4,1,4,rectangle,multimat-right-work-distribution,4_1_4_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6429,233271,4,1,4,triangle,multimat-right-work-distribution,4_1_4_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8967,167265,4,1,8,rectangle,multimat-right-work-distribution,4_1_8_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8816,170127,4,1,8,triangle,multimat-right-work-distribution,4_1_8_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13935,107666,4,1,16,rectangle,multimat-right-work-distribution,4_1_16_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13750,109072,4,1,16,triangle,multimat-right-work-distribution,4_1_16_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5284,284007,4,2,1,rectangle,multimat-right-work-distribution,4_2_1_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,4749,315849,4,2,1,triangle,multimat-right-work-distribution,4_2_1_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6402,234287,4,2,4,rectangle,multimat-right-work-distribution,4_2_4_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6553,228911,4,2,4,triangle,multimat-right-work-distribution,4_2_4_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,9269,161822,4,2,8,rectangle,multimat-right-work-distribution,4_2_8_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,9269,161830,4,2,8,triangle,multimat-right-work-distribution,4_2_8_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,14552,103075,4,2,16,rectangle,multimat-right-work-distribution,4_2_16_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
