,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,575099,261,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,575130,261,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,575118,261,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,575134,261,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,575146,261,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,575126,261,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,575123,261,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,575138,261,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,575134,261,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,575127,261,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,579493,259,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,579536,259,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,579517,259,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
