,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,574288,262,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,574272,262,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,574289,262,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,574279,262,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,574272,262,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,574288,262,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,574275,262,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,574291,262,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,574287,262,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,574288,262,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,388133,387,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,388124,387,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,388106,387,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,388129,387,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,388135,387,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,388137,387,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,388121,387,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,388133,387,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,388122,387,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,388130,387,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,292941,512,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,292955,513,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,292941,512,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,292956,512,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,292948,512,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,293664,513,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,295034,509,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,294688,509,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,294702,509,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,294704,509,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,248916,603,4,8,multimat-right,4_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,248398,605,4,8,multimat-right,4_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,248448,604,4,8,multimat-right,4_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,248379,604,4,8,multimat-right,4_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,248542,604,4,8,multimat-right,4_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,250080,600,4,8,multimat-right,4_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,250044,599,4,8,multimat-right,4_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,249873,600,4,8,multimat-right,4_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,249953,601,4,8,multimat-right,4_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,250006,600,4,8,multimat-right,4_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,575818,261,8,1,multimat-right,8_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,575869,261,8,1,multimat-right,8_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,575852,261,8,1,multimat-right,8_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,575844,261,8,1,multimat-right,8_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,575836,261,8,1,multimat-right,8_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,575825,261,8,1,multimat-right,8_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,575837,261,8,1,multimat-right,8_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,575844,261,8,1,multimat-right,8_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,575828,261,8,1,multimat-right,8_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,575848,261,8,1,multimat-right,8_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,389737,385,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,389731,385,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,389734,385,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,389710,385,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,389737,385,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,389726,385,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,389721,385,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,389732,385,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,389766,385,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,389733,385,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,297460,505,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,297525,504,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,297458,505,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,297394,504,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,297324,505,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,297628,504,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,297604,505,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,297333,505,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,297538,504,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,297485,505,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,259316,578,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
