,Kernel,Kernel_iterations,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,42264831,4,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,42268417,4,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,42221576,4,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,42365711,4,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,42211326,4,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,42264022,4,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,42291454,4,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,42231784,4,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,42207489,4,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,42224128,4,original,,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,118567199,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,119691070,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,119706398,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,119706016,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,119697151,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,119736640,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,119696380,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,119697601,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,118366882,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,118331199,1,original,,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,423663574,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
1,423996551,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
2,423955993,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
3,423844635,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
4,423792480,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
5,424009368,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
6,424054901,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
7,423741607,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
8,423287841,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
9,423547790,1,original,,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
0,1805851196,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
1,1854968627,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
2,1904174682,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
3,2395154296,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
4,1883249633,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
5,1852251464,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
6,1891462890,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
7,2405125732,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
8,1879118041,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
9,1852175903,1,original,,128_128_1_4000,65552384,128,128,16384,1,4000,1x4000,one_to_many_saturated
0,19110347656,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
1,18754535156,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
2,18853039062,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
3,19783091796,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
4,19588031250,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
5,19482769531,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
6,19982525390,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
7,19969333984,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
8,20277308593,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
9,20138134765,1,original,,256_256_1_4000,262209536,256,256,65536,1,4000,1x4000,one_to_many_saturated
