,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,left_matrices_per_thread,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
1,16639,79403,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,16556,90612,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,16556,90622,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,16552,90604,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,16553,90621,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,16553,90619,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,16550,90627,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,16551,90622,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,16554,90622,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,14730,101558,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,14726,101838,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,14730,101785,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,14730,101792,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,14733,101852,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,14732,101782,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,14731,101786,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,14727,101830,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,14727,101811,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,14733,101830,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,13152,113737,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,13151,113968,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,13152,113968,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,13152,113970,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
