,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,hadamard_items_per_thread,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,9686,161784,89486,16762,398782,10000,465337,1,12355525,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,9672,162032,89785,16710,398981,10000,444338,1,4864769,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,9687,161796,89781,16707,399111,10000,446017,1,7037633,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,9688,161785,89585,16744,398975,10000,452531,1,6006418,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,9681,161923,89494,16763,399086,10000,436751,1,5859164,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,9679,162006,89802,16704,398810,10000,442245,1,5785960,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,9687,161821,89486,16764,399270,10000,465857,1,5993165,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,9682,161896,89653,16733,398306,10000,444329,1,6297377,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,9687,161782,89566,16749,398519,10000,445271,1,6751951,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,9673,162059,89515,16758,398591,10000,460543,1,6660746,1,256,10,fft,,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,22518,69536,494805,3030,1481744,10000,777171,1,14806659,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
1,22511,69579,494119,3037,1481326,10000,903921,1,7410643,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
2,22516,69598,495156,3028,1481552,10000,1231611,1,7272942,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
3,22508,69620,493446,3039,1482238,10000,899598,1,6913341,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
4,22507,69625,494441,3034,1481844,10000,907712,1,9282649,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
5,22515,69608,492358,3045,1482401,10000,923289,1,7445506,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
6,22513,69599,492477,3044,1482374,10000,912901,1,7395577,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
7,22518,69562,492244,3047,1483034,10000,916666,1,8304721,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
8,22515,69599,493245,3040,1481687,10000,914363,1,9006999,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
9,22510,69619,494714,3033,1482901,10000,925700,1,7036170,1,256,10,fft,,32_32_128_128,262144,32,32,1024,128,128,128x128,n_to_m_saturated
0,106412,10000,2853202,526,5960759,10000,1826653,1,12288073,1,256,10,fft,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
1,106074,10000,2845156,528,5962897,10000,1882880,1,7873125,1,256,10,fft,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
2,106131,10000,2845546,528,5966519,10000,2702417,1,9226706,1,256,10,fft,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
3,106098,10000,2844828,528,5969420,10000,2699877,1,8349936,1,256,10,fft,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
4,106130,10000,2855388,526,5970283,10000,2764774,1,8664762,1,256,10,fft,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
5,106189,10000,2842637,528,5971761,10000,2707597,1,8496227,1,256,10,fft,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
6,106081,10000,2842676,528,5972421,10000,2691401,1,8461291,1,256,10,fft,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
7,106083,10000,2840092,529,5972243,10000,2739874,1,7586418,1,256,10,fft,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
8,106112,10000,2852793,526,5972445,10000,2765683,1,8853938,1,256,10,fft,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
9,106182,10000,2841247,528,5972780,10000,2766655,1,9826601,1,256,10,fft,,64_64_128_128,1048576,64,64,4096,128,128,128x128,n_to_m_saturated
