,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,left_matrices_per_thread,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,3576317,412,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,3573672,420,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,3574820,420,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,3574033,420,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,3573994,420,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,3574023,420,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,3574076,420,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,3573976,420,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,3573967,420,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,3574025,420,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,3964158,382,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,3967000,379,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,3966927,379,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,3966978,379,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,3966992,379,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,3966940,379,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,3966938,379,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,3966948,379,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,3966908,379,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,3966921,379,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,3881278,383,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,3877348,387,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,3877342,387,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,3877395,387,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,3877387,387,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,3877364,387,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,3877342,387,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,3877456,387,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,3877393,387,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,3877538,387,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,2763125,559,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,2764388,545,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,2764374,544,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,2764407,543,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,2764409,543,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,2764356,543,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,2764350,545,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,2764367,544,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,2764399,545,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,2764398,545,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,2540127,602,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,2541901,592,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,2540989,593,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,2541920,592,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,2541561,591,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,2541263,591,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,2541909,594,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
