,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,3554551,422,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,3554444,422,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,3554704,422,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,3554567,423,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,3554488,422,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,3554401,422,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,3554520,422,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,3553437,423,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,3553529,423,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,3553606,423,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,2668392,567,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,2670179,563,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,2692163,558,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,2692174,558,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,2692178,559,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,2692139,560,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,2692077,559,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,2692202,559,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,2692101,558,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,2692118,558,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1986432,763,4,1,4,1,none,multimat-both,4_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1986414,756,4,1,4,1,none,multimat-both,4_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1986432,756,4,1,4,1,none,multimat-both,4_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1986449,758,4,1,4,1,none,multimat-both,4_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1986414,756,4,1,4,1,none,multimat-both,4_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1986425,759,4,1,4,1,none,multimat-both,4_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1987157,756,4,1,4,1,none,multimat-both,4_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1987097,756,4,1,4,1,none,multimat-both,4_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1986723,760,4,1,4,1,none,multimat-both,4_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1987123,756,4,1,4,1,none,multimat-both,4_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,3205062,468,4,2,1,1,none,multimat-both,4_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,3205063,469,4,2,1,1,none,multimat-both,4_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,3205032,469,4,2,1,1,none,multimat-both,4_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,3205074,469,4,2,1,1,none,multimat-both,4_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,3205058,469,4,2,1,1,none,multimat-both,4_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,3205032,469,4,2,1,1,none,multimat-both,4_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,3205054,469,4,2,1,1,none,multimat-both,4_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,3204991,469,4,2,1,1,none,multimat-both,4_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,3205037,469,4,2,1,1,none,multimat-both,4_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,3205017,469,4,2,1,1,none,multimat-both,4_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,2096460,732,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,2090335,719,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,2094965,719,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,2091046,718,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,2100947,720,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,2101267,717,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,2100994,716,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,2093756,718,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,2094647,717,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,2093448,718,4,2,2,1,none,multimat-both,4_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1416586,1079,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1416807,1072,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1416788,1059,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1416798,1059,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
