,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,6063,26043,2477,60541,6062,25997,81601,1,11120923,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,6064,26021,2488,60581,6054,26046,236836,1,5220900,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,6064,26026,2476,60576,6062,26033,83189,1,5453315,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,6063,26034,2472,60564,6056,26026,142631,1,4683227,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,6064,26044,2476,60569,6057,26018,80358,1,4813602,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,6064,26051,2472,60581,6055,26031,81130,1,5148901,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,6064,26042,2477,60581,6056,26053,156686,1,5125995,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,6064,26047,2474,60584,6062,25997,183137,1,4884913,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,6064,26043,2473,60576,6056,26021,101828,1,4878695,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,6064,26033,2474,60554,6060,26034,120229,1,5035368,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,5755,27357,2524,59659,5930,26545,81456,1,11828564,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
1,5755,27335,2521,59749,5931,26567,253306,1,5901805,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
2,5754,27330,2521,59622,5933,26529,84464,1,5866406,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
3,5757,27328,2523,59680,5928,26572,89647,1,5832344,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
4,5755,27344,2521,59705,5931,26554,82972,1,5602934,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
5,5754,27342,2520,59685,5928,26575,80119,1,5749860,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
6,5755,27336,2522,59574,5933,26525,93256,1,5844499,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
7,5756,27327,2519,59644,5931,26571,80457,1,5962886,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
8,5753,27351,2523,59629,5929,26543,88814,1,5646742,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
9,5755,27331,2520,59644,5934,26513,103272,1,6253227,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
0,5834,27009,2558,58242,6006,26237,87298,1,10874288,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
1,5836,26971,2556,58820,6011,26213,86715,1,4397365,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
2,5832,27027,2557,58815,6008,26226,238011,1,4527937,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
3,5832,27019,2558,58856,6007,26221,82232,1,4845184,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
4,5835,27002,2559,58879,6004,26257,232180,1,4630055,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
5,5837,27029,2558,58808,6011,26226,80869,1,4873100,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
6,5832,27009,2557,58886,6006,26232,182671,1,4906164,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
7,5836,27057,2556,58818,6011,26206,208310,1,5634250,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
8,5832,26994,2556,58867,6011,26210,80431,1,4745322,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
9,5833,27000,2558,58825,6008,26222,221934,1,5103244,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
0,6198,25438,2468,60539,6003,26226,86571,1,11152418,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
1,6183,25475,2467,60629,5973,26385,236169,1,5383502,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
2,6184,25470,2469,60636,5992,26289,82262,1,5148704,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
3,6135,25650,2466,60631,5988,26303,88133,1,4903796,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
4,6763,21852,2530,55163,5980,26324,120985,1,5156392,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
5,6133,25640,2469,60576,5971,26370,216514,1,5335925,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
6,6179,25481,2469,60591,5973,26393,80132,1,4783977,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
7,6178,25489,2468,60636,5989,26329,158174,1,5293798,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
8,6131,25631,2466,60604,5967,26390,224346,1,5443792,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
9,6181,25478,2466,60609,5972,26353,97521,1,4587423,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
0,6516,24114,2494,59925,6203,25357,88115,1,9725501,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
1,6565,23955,2497,59858,6171,25469,189802,1,4534913,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
2,6531,23957,2496,59866,6196,25376,153714,1,4697042,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
3,6571,23915,2495,59873,6201,25385,117279,1,5212412,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
4,6577,23895,2493,59932,6174,25487,80920,1,4567957,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
5,6543,23991,2497,59883,6171,25511,80911,1,5022088,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
6,6541,24007,2498,59863,6169,25537,80605,1,4313604,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
7,6540,23999,2497,59868,6196,25395,81185,1,4658618,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
8,6572,23903,2494,59880,6170,25522,154128,1,4593649,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
9,6531,23979,2497,59900,6194,25430,114808,1,5053128,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
0,7418,21216,2620,57174,6722,23435,111541,1,9061309,1,256,fft,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
1,7407,21238,2624,56934,6758,23308,233375,1,3893587,1,256,fft,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
2,7423,21199,2622,57009,6760,23331,81543,1,3944562,1,256,fft,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
3,7422,21190,2624,56870,6722,23404,227574,1,4500623,1,256,fft,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
4,7403,21252,2622,56936,6757,23329,132968,1,4250318,1,256,fft,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
5,7410,21240,2625,56885,6791,23214,243920,1,5667159,1,256,fft,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
6,7421,21195,2623,56963,6785,23233,129376,1,4425492,1,256,fft,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
7,7421,21194,2626,56976,6747,23354,93139,1,6674071,1,256,fft,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
8,7401,21250,2628,56927,6720,23418,183823,1,4624085,1,256,fft,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
9,7414,21204,2624,56932,6755,23316,228231,1,4191012,1,256,fft,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
