,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,26968,5482,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,26997,5488,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,27057,5471,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,27010,5514,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,26991,5544,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,27051,5540,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,27066,5470,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,27024,5494,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,27058,5545,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,27007,5525,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,30202,4903,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,30162,4903,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,30324,4917,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,30199,4952,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,30162,4930,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,30212,4952,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,30135,4956,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,30153,4960,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,30195,4964,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,30191,4954,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,50017,2981,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,50050,2983,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,50071,2976,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,50039,2996,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,50003,3003,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,50021,2998,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,49967,3001,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,49997,2978,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,49978,3000,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,50002,2994,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,33114,4495,4,8,1,none,20,multimat-right,4_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,33225,4488,4,8,1,none,20,multimat-right,4_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,33143,4487,4,8,1,none,20,multimat-right,4_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,33178,4503,4,8,1,none,20,multimat-right,4_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,33117,4526,4,8,1,none,20,multimat-right,4_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,33158,4507,4,8,1,none,20,multimat-right,4_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,33095,4526,4,8,1,none,20,multimat-right,4_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,33186,4515,4,8,1,none,20,multimat-right,4_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,33081,4529,4,8,1,none,20,multimat-right,4_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,33174,4512,4,8,1,none,20,multimat-right,4_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,27114,5462,8,1,1,none,20,multimat-right,8_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,27158,5461,8,1,1,none,20,multimat-right,8_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,27102,5460,8,1,1,none,20,multimat-right,8_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,27088,5510,8,1,1,none,20,multimat-right,8_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,27066,5521,8,1,1,none,20,multimat-right,8_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,27094,5492,8,1,1,none,20,multimat-right,8_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,27110,5524,8,1,1,none,20,multimat-right,8_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,27095,5524,8,1,1,none,20,multimat-right,8_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,27096,5503,8,1,1,none,20,multimat-right,8_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,27101,5524,8,1,1,none,20,multimat-right,8_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,31066,4767,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,30956,4807,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,31070,4777,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,31002,4799,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,31012,4822,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,30948,4808,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,31012,4822,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,30903,4852,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,31032,4803,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,30939,4842,8,2,1,none,20,multimat-right,8_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,50466,2954,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,50547,2950,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,50498,2955,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,50499,2959,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,50457,2963,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,50521,2961,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,50459,2966,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,50530,2964,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,50471,2961,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,50560,2956,8,4,1,none,20,multimat-right,8_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,35219,4174,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,35368,4216,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,35233,4219,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,35305,4231,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,35229,4250,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,35252,4226,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,35238,4225,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,35262,4242,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,35232,4224,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,35293,4237,8,8,1,none,20,multimat-right,8_8,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,31452,4706,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
1,31367,4734,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
2,31325,4764,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
3,31371,4777,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
4,31322,4760,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
5,31316,4763,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
6,31303,4783,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
7,31312,4782,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
8,31348,4796,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
9,31337,4755,4,1,1,none,20,multimat-right,4_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
0,34210,4341,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
1,34244,4345,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
2,34123,4387,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
3,34145,4388,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
4,34169,4374,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
5,34177,4383,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
6,34115,4375,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
7,34195,4361,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
8,34166,4384,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
9,34163,4388,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
0,53885,2762,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
1,53907,2764,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
2,53772,2788,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
3,53818,2788,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
4,53782,2786,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
5,53837,2784,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
6,53734,2785,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
7,53824,2783,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
8,53737,2786,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
9,53792,2784,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
0,36999,3998,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
1,36979,4024,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
2,36877,4041,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
3,36916,4052,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
4,36891,4056,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
5,36942,4050,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
6,36928,4044,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
7,36979,4065,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
8,36886,4068,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
9,36934,4053,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
0,31316,4720,8,1,1,none,20,multimat-right,8_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
1,31316,4743,8,1,1,none,20,multimat-right,8_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
2,31266,4800,8,1,1,none,20,multimat-right,8_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
