,Kernel,Kernel_iterations,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,63967,2344,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,63966,2345,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,63970,2345,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,63960,2344,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,63963,2341,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,63969,2345,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,63968,2344,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,63985,2340,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,63965,2344,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,63971,2344,original,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,64082,2340,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
1,64085,2341,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
2,64077,2341,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
3,64072,2340,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
4,64078,2341,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
5,64085,2341,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
6,64073,2340,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
7,64088,2341,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
8,64076,2341,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
9,64075,2341,original,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
0,64142,2336,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
1,64146,2333,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
2,64132,2339,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
3,64138,2339,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
4,64137,2338,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
5,64134,2338,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
6,64153,2339,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
7,64146,2338,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
8,64142,2337,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
9,64144,2338,original,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
0,185847,808,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
1,185875,807,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
2,185836,807,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
3,185874,807,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
4,185843,808,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
5,185879,807,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
6,185866,807,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
7,185861,807,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
8,185846,807,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
9,185865,807,original,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
0,185898,807,original,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
1,185925,807,original,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
2,185916,807,original,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
