,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,5790,27248,2068,72189,5791,27183,80466,1,9147956,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
1,5790,27204,2067,72396,5794,27171,86997,1,5026951,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
2,5790,27214,2066,72611,5793,27176,81060,1,4826933,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
3,5790,27219,2065,73250,5791,27187,84525,1,4314983,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
4,5787,27218,2059,72622,5794,27169,229182,1,5752072,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
5,5790,27239,2087,71715,5793,27171,80872,1,5243250,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
6,5790,27224,2064,72886,5791,27180,82951,1,5144207,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
7,5791,27245,2067,72446,5794,27170,237178,1,6011990,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
8,5790,27229,2071,73038,5791,27187,227540,1,5872426,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
9,5790,27234,2059,72579,5788,27192,84018,1,6315491,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
10,5790,27244,2059,72471,5791,27184,105698,1,6170035,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
11,5790,27221,2073,72679,5791,27182,244211,1,5586086,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
12,5790,27220,2071,72676,5793,27170,243650,1,6321199,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
13,5790,27258,2066,72799,5793,27170,227790,1,5897661,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
14,5790,27227,2067,72374,5791,27173,83310,1,5636718,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
15,5790,27212,2066,72643,5791,27178,227375,1,6500488,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
16,5790,27226,2063,72518,5794,27166,82504,1,6153273,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
17,5789,27252,2057,72683,5793,27170,207228,1,6577763,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
18,5790,27213,2070,72625,5793,27172,82911,1,5748977,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
19,5790,27249,2053,72546,5791,27181,229957,1,6614778,1,256,fft,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5945,26558,3280,45778,5943,26499,220186,1,8195945,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
1,5942,26541,3281,45863,5945,26487,87584,1,5530156,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
2,5942,26539,3280,45870,5941,26523,245042,1,5750027,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
3,5945,26540,3282,45853,5942,26509,84133,1,5964162,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
4,5945,26529,3279,45827,5942,26513,121556,1,4590421,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
5,5945,26534,3281,45834,5945,26501,83433,1,5874274,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
6,5943,26548,3278,45844,5943,26491,83390,1,5661477,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
7,5944,26531,3280,45838,5945,26487,84362,1,5637248,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
8,5943,26535,3280,45830,5940,26500,84087,1,6442488,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
9,5945,26549,3280,45851,5943,26532,231876,1,5938385,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
10,5945,26525,3280,45861,5940,26504,225755,1,6469097,1,256,fft,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
