,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,16671,89935,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,13683,109558,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,13148,114094,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,20303,73895,4,2,1,1,multimat-right-multirow-both,4_1_2_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,15047,99654,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,17833,84039,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,21634,69338,4,4,1,1,multimat-right-multirow-both,4_1_4_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,21562,69556,4,4,1,2,multimat-right-multirow-both,4_1_4_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,19776,75848,4,4,1,4,multimat-right-multirow-both,4_1_4_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,20979,71481,4,1,2,1,multimat-right-multirow-both,4_2_1_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,19993,75005,4,1,2,2,multimat-right-multirow-both,4_2_1_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,19493,76931,4,1,2,4,multimat-right-multirow-both,4_2_1_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,37719,39764,4,2,2,1,multimat-right-multirow-both,4_2_2_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,22831,65707,4,2,2,2,multimat-right-multirow-both,4_2_2_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,24761,60583,4,2,2,4,multimat-right-multirow-both,4_2_2_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,31693,47333,4,4,2,1,multimat-right-multirow-both,4_2_4_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,39246,38218,4,4,2,2,multimat-right-multirow-both,4_2_4_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,35544,42168,4,4,2,4,multimat-right-multirow-both,4_2_4_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,20874,71872,4,1,4,1,multimat-right-multirow-both,4_4_1_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,19341,77572,4,1,4,2,multimat-right-multirow-both,4_4_1_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,18883,79435,4,1,4,4,multimat-right-multirow-both,4_4_1_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,24984,60023,4,2,4,1,multimat-right-multirow-both,4_4_2_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,21248,70610,4,2,4,2,multimat-right-multirow-both,4_4_2_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,20613,72776,4,2,4,4,multimat-right-multirow-both,4_4_2_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,30837,48638,4,4,4,1,multimat-right-multirow-both,4_4_4_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,33484,44798,4,4,4,2,multimat-right-multirow-both,4_4_4_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,24037,62405,4,4,4,4,multimat-right-multirow-both,4_4_4_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,16863,88922,8,1,1,1,multimat-right-multirow-both,8_1_1_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,14787,101438,8,1,1,2,multimat-right-multirow-both,8_1_1_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,14158,105954,8,1,1,4,multimat-right-multirow-both,8_1_1_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,20678,72535,8,2,1,1,multimat-right-multirow-both,8_1_2_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,15809,94854,8,2,1,2,multimat-right-multirow-both,8_1_2_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,18586,80690,8,2,1,4,multimat-right-multirow-both,8_1_2_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,20843,71943,8,4,1,1,multimat-right-multirow-both,8_1_4_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,21259,70560,8,4,1,2,multimat-right-multirow-both,8_1_4_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,19821,75666,8,4,1,4,multimat-right-multirow-both,8_1_4_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,21915,68428,8,1,2,1,multimat-right-multirow-both,8_2_1_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,21504,69746,8,1,2,2,multimat-right-multirow-both,8_2_1_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,20556,72966,8,1,2,4,multimat-right-multirow-both,8_2_1_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,37818,39666,8,2,2,1,multimat-right-multirow-both,8_2_2_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,24367,61557,8,2,2,2,multimat-right-multirow-both,8_2_2_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,25651,58466,8,2,2,4,multimat-right-multirow-both,8_2_2_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,32310,46424,8,4,2,1,multimat-right-multirow-both,8_2_4_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,39519,37954,8,4,2,2,multimat-right-multirow-both,8_2_4_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,35632,42097,8,4,2,4,multimat-right-multirow-both,8_2_4_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,21979,68243,8,1,4,1,multimat-right-multirow-both,8_4_1_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,20484,73211,8,1,4,2,multimat-right-multirow-both,8_4_1_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,20462,73307,8,1,4,4,multimat-right-multirow-both,8_4_1_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,26551,56497,8,2,4,1,multimat-right-multirow-both,8_4_2_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,22905,65479,8,2,4,2,multimat-right-multirow-both,8_4_2_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,22655,66201,8,2,4,4,multimat-right-multirow-both,8_4_2_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,31305,47914,8,4,4,1,multimat-right-multirow-both,8_4_4_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,33521,44744,8,4,4,2,multimat-right-multirow-both,8_4_4_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,25204,59506,8,4,4,4,multimat-right-multirow-both,8_4_4_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,16639,90152,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13784,108801,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13144,114093,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,20497,73194,4,2,1,1,multimat-right-multirow-both,4_1_2_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,15188,98792,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,17918,83692,4,2,1,4,multimat-right-multirow-both,4_1_2_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
