,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,16606,90332,4,1,multimat-right,4_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,19782,75832,4,2,multimat-right,4_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,20304,73855,4,4,multimat-right,4_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,21608,69444,4,8,multimat-right,4_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,16855,88981,8,1,multimat-right,8_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,20629,72712,8,2,multimat-right,8_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,21230,70661,8,4,multimat-right,8_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,22568,66449,8,8,multimat-right,8_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,16634,90158,4,1,multimat-right,4_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,19929,75267,4,2,multimat-right,4_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,39853,37635,4,4,multimat-right,4_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,56622,26491,4,8,multimat-right,4_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,17125,87581,8,1,multimat-right,8_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,20819,72055,8,2,multimat-right,8_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,40324,37200,8,4,multimat-right,8_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,58842,25492,8,8,multimat-right,8_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,34427,43575,4,1,multimat-right,4_1,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,41572,36082,4,2,multimat-right,4_2,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,42514,35280,4,4,multimat-right,4_4,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,45046,33299,4,8,multimat-right,4_8,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,35995,41667,8,1,multimat-right,8_1,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,44795,33484,8,2,multimat-right,8_2,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,45372,33060,8,4,multimat-right,8_4,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,48630,30848,8,8,multimat-right,8_8,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,17192,87059,4,1,multimat-right,4_1,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
0,20213,74233,4,2,multimat-right,4_2,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
0,39799,37689,4,4,multimat-right,4_4,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
0,56961,26333,4,8,multimat-right,4_8,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
0,17707,84695,8,1,multimat-right,8_1,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
0,20848,71952,8,2,multimat-right,8_2,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
0,40572,36973,8,4,multimat-right,8_4,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
0,59154,25357,8,8,multimat-right,8_8,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
0,33954,44133,4,1,multimat-right,4_1,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
0,42342,35426,4,2,multimat-right,4_2,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
0,80977,18524,4,4,multimat-right,4_4,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
0,115445,10000,4,8,multimat-right,4_8,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
0,36608,40980,8,1,multimat-right,8_1,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
0,44712,33548,8,2,multimat-right,8_2,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
0,82808,18114,8,4,multimat-right,8_4,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
0,121556,10000,8,8,multimat-right,8_8,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
0,123080,10000,4,1,multimat-right,4_1,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
0,151091,9918,4,2,multimat-right,4_2,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
0,155019,9670,4,4,multimat-right,4_4,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
0,165303,9073,4,8,multimat-right,4_8,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
0,130439,10000,8,1,multimat-right,8_1,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
0,164919,9094,8,2,multimat-right,8_2,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
0,166875,8987,8,4,multimat-right,8_4,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
0,180343,8311,8,8,multimat-right,8_8,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
0,62580,23949,4,1,multimat-right,4_1,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
0,50956,29429,4,2,multimat-right,4_2,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
0,81571,18388,4,4,multimat-right,4_4,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
0,116063,10000,4,8,multimat-right,4_8,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
0,66314,22637,8,1,multimat-right,8_1,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
0,51810,28951,8,2,multimat-right,8_2,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
0,83597,17943,8,4,multimat-right,8_4,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
0,121368,10000,8,8,multimat-right,8_8,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
0,191067,7842,4,2,multimat-right,4_2,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
0,236804,6331,4,1,multimat-right,4_1,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
0,315695,4745,4,4,multimat-right,4_4,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
0,447573,3347,4,8,multimat-right,4_8,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
0,238012,6298,8,1,multimat-right,8_1,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
0,205119,7313,8,2,multimat-right,8_2,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
0,319422,4692,8,4,multimat-right,8_4,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
0,475637,3152,8,8,multimat-right,8_8,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
0,916523,1637,4,1,multimat-right,4_1,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,770945,1949,4,2,multimat-right,4_2,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,781248,1921,4,4,multimat-right,4_4,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,816623,1838,4,8,multimat-right,4_8,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,923839,1624,8,1,multimat-right,8_1,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,826305,1816,8,2,multimat-right,8_2,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,835360,1796,8,4,multimat-right,8_4,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,874022,1716,8,8,multimat-right,8_8,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,689110,2172,4,1,multimat-right,4_1,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,537889,2783,4,2,multimat-right,4_2,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,506502,2961,4,4,multimat-right,4_4,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,552547,2713,4,8,multimat-right,4_8,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,697039,2150,8,1,multimat-right,8_1,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,553224,2706,8,2,multimat-right,8_2,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,518162,2885,8,4,multimat-right,8_4,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,568714,2638,8,8,multimat-right,8_8,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,2275105,653,4,1,multimat-right,4_1,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,1848993,809,4,2,multimat-right,4_2,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,1991215,754,4,4,multimat-right,4_4,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,2229905,673,4,8,multimat-right,4_8,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,2291701,655,8,1,multimat-right,8_1,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,1913927,785,8,2,multimat-right,8_2,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,2015771,744,8,4,multimat-right,8_4,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,2286471,656,8,8,multimat-right,8_8,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,8216061,183,4,1,multimat-right,4_1,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,6859464,220,4,2,multimat-right,4_2,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,6883062,220,4,4,multimat-right,4_4,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,6768726,225,4,8,multimat-right,4_8,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,8319683,181,8,1,multimat-right,8_1,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,7045560,214,8,2,multimat-right,8_2,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,7114387,211,8,4,multimat-right,8_4,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,6775840,223,8,8,multimat-right,8_8,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,8940119,169,4,1,multimat-right,4_1,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,6724589,226,4,2,multimat-right,4_2,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,5079981,297,4,4,multimat-right,4_4,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,4610974,326,4,8,multimat-right,4_8,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,8947389,168,8,1,multimat-right,8_1,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,6741115,224,8,2,multimat-right,8_2,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,5151147,292,8,4,multimat-right,8_4,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,4621978,327,8,8,multimat-right,8_8,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,32006522,46,4,1,multimat-right,4_1,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,24117350,60,4,2,multimat-right,4_2,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,18329691,78,4,4,multimat-right,4_4,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,17228514,79,4,8,multimat-right,4_8,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,32073182,45,8,1,multimat-right,8_1,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,24172509,60,8,2,multimat-right,8_2,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,18494720,76,8,4,multimat-right,8_4,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,17046730,81,8,8,multimat-right,8_8,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,127695017,12,4,1,multimat-right,4_1,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
0,95770240,16,4,2,multimat-right,4_2,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
0,72072054,22,4,4,multimat-right,4_4,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
0,61555496,24,4,8,multimat-right,4_8,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
0,128032684,12,8,1,multimat-right,8_1,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
0,95726722,16,8,2,multimat-right,8_2,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
0,71934442,21,8,4,multimat-right,8_4,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
0,61236907,24,8,8,multimat-right,8_8,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
