,Kernel,Kernel_iterations,shifts_per_thread_block,shared_mem_row_size,shared_mem_rows,strided_load,column_group_per_block,right_matrices_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,6424,232715,8,32,8,0,0,1,warp-per-shift-shared-memory,8_32_False_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6735,221826,8,32,8,0,0,2,warp-per-shift-shared-memory,8_32_False_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6714,223535,8,32,8,0,0,4,warp-per-shift-shared-memory,8_32_False_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6785,221056,8,32,8,0,0,8,warp-per-shift-shared-memory,8_32_False_False_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8241,181745,8,32,8,0,1,1,warp-per-shift-shared-memory,8_32_False_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8528,175605,8,32,8,0,1,2,warp-per-shift-shared-memory,8_32_False_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8469,176974,8,32,8,0,1,4,warp-per-shift-shared-memory,8_32_False_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8476,176681,8,32,8,0,1,8,warp-per-shift-shared-memory,8_32_False_True_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5250,285935,8,32,8,1,0,1,warp-per-shift-shared-memory,8_32_True_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5655,265241,8,32,8,1,0,2,warp-per-shift-shared-memory,8_32_True_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5571,268868,8,32,8,1,0,4,warp-per-shift-shared-memory,8_32_True_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5467,274588,8,32,8,1,0,8,warp-per-shift-shared-memory,8_32_True_False_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6977,214812,8,32,8,1,1,1,warp-per-shift-shared-memory,8_32_True_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7415,201898,8,32,8,1,1,2,warp-per-shift-shared-memory,8_32_True_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7303,205307,8,32,8,1,1,4,warp-per-shift-shared-memory,8_32_True_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7215,207700,8,32,8,1,1,8,warp-per-shift-shared-memory,8_32_True_True_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6466,231846,8,128,8,0,0,1,warp-per-shift-shared-memory,8_128_False_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6800,220746,8,128,8,0,0,2,warp-per-shift-shared-memory,8_128_False_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6736,222787,8,128,8,0,0,4,warp-per-shift-shared-memory,8_128_False_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6759,221748,8,128,8,0,0,8,warp-per-shift-shared-memory,8_128_False_False_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8177,183314,8,128,8,0,1,1,warp-per-shift-shared-memory,8_128_False_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8575,174694,8,128,8,0,1,2,warp-per-shift-shared-memory,8_128_False_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8447,177188,8,128,8,0,1,4,warp-per-shift-shared-memory,8_128_False_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8566,175010,8,128,8,0,1,8,warp-per-shift-shared-memory,8_128_False_True_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5238,286691,8,128,8,1,0,1,warp-per-shift-shared-memory,8_128_True_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5641,265011,8,128,8,1,0,2,warp-per-shift-shared-memory,8_128_True_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5553,270461,8,128,8,1,0,4,warp-per-shift-shared-memory,8_128_True_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5459,274691,8,128,8,1,0,8,warp-per-shift-shared-memory,8_128_True_False_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7064,212220,8,128,8,1,1,1,warp-per-shift-shared-memory,8_128_True_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7402,202461,8,128,8,1,1,2,warp-per-shift-shared-memory,8_128_True_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7292,205515,8,128,8,1,1,4,warp-per-shift-shared-memory,8_128_True_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7232,207412,8,128,8,1,1,8,warp-per-shift-shared-memory,8_128_True_True_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6416,233695,8,256,8,0,0,1,warp-per-shift-shared-memory,8_256_False_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6757,221947,8,256,8,0,0,2,warp-per-shift-shared-memory,8_256_False_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6744,222641,8,256,8,0,0,4,warp-per-shift-shared-memory,8_256_False_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8185,182875,8,256,8,0,1,1,warp-per-shift-shared-memory,8_256_False_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8504,176112,8,256,8,0,1,2,warp-per-shift-shared-memory,8_256_False_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,8473,176707,8,256,8,0,1,4,warp-per-shift-shared-memory,8_256_False_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5202,288089,8,256,8,1,0,1,warp-per-shift-shared-memory,8_256_True_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5639,265640,8,256,8,1,0,2,warp-per-shift-shared-memory,8_256_True_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5524,270992,8,256,8,1,0,4,warp-per-shift-shared-memory,8_256_True_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7023,213438,8,256,8,1,1,1,warp-per-shift-shared-memory,8_256_True_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7488,199832,8,256,8,1,1,2,warp-per-shift-shared-memory,8_256_True_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7366,203217,8,256,8,1,1,4,warp-per-shift-shared-memory,8_256_True_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5355,280310,16,32,16,0,0,1,warp-per-shift-shared-memory,16_32_False_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5320,282097,16,32,16,0,0,2,warp-per-shift-shared-memory,16_32_False_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5286,283638,16,32,16,0,0,4,warp-per-shift-shared-memory,16_32_False_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,5228,287039,16,32,16,0,0,8,warp-per-shift-shared-memory,16_32_False_False_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7131,210249,16,32,16,0,1,1,warp-per-shift-shared-memory,16_32_False_True_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7094,211341,16,32,16,0,1,2,warp-per-shift-shared-memory,16_32_False_True_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7096,210854,16,32,16,0,1,4,warp-per-shift-shared-memory,16_32_False_True_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,6980,214790,16,32,16,0,1,8,warp-per-shift-shared-memory,16_32_False_True_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4566,327640,16,32,16,1,0,1,warp-per-shift-shared-memory,16_32_True_False_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4480,334707,16,32,16,1,0,2,warp-per-shift-shared-memory,16_32_True_False_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,4509,330799,16,32,16,1,0,4,warp-per-shift-shared-memory,16_32_True_False_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
