,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,882392,170,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,877406,171,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,877376,171,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,877334,171,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,877418,171,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,877292,171,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,877394,171,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,877364,171,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,877370,171,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,877011,171,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,963163,156,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,963131,156,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,963177,156,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,963117,156,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,963170,156,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,963177,156,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,963091,156,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,963085,156,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,963177,156,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,963085,156,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,954186,158,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,954173,158,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,954095,158,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,954128,158,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,954128,158,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,954147,158,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,954199,158,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,954186,158,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,954089,158,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,954115,158,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,672467,228,4,2,1,1,multimat-right-multirow-both,4_1_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
