,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,879490,171,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,879250,171,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,879274,171,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,879190,171,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,879208,171,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,879262,171,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,879274,171,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,879196,171,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,879274,171,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,879322,171,4,1,multimat-right,4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,645566,234,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,648205,232,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,648156,232,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,648218,232,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,648191,232,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,649419,232,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,648487,232,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,648355,232,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,648377,232,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,648408,232,4,2,multimat-right,4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,488708,311,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,488281,308,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,488981,309,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,488022,308,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,488295,308,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,488580,308,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,490910,309,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,492836,305,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,492862,305,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,490962,305,4,4,multimat-right,4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,422969,355,4,8,multimat-right,4_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,421697,355,4,8,multimat-right,4_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,421735,356,4,8,multimat-right,4_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,422819,355,4,8,multimat-right,4_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,422718,355,4,8,multimat-right,4_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,422935,355,4,8,multimat-right,4_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,421818,355,4,8,multimat-right,4_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,421642,359,4,8,multimat-right,4_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,422914,355,4,8,multimat-right,4_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,422880,355,4,8,multimat-right,4_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,889359,169,8,1,multimat-right,8_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,883079,170,8,1,multimat-right,8_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,883019,170,8,1,multimat-right,8_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,883025,170,8,1,multimat-right,8_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,883025,170,8,1,multimat-right,8_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,883025,170,8,1,multimat-right,8_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,883049,170,8,1,multimat-right,8_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,883097,170,8,1,multimat-right,8_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,883091,170,8,1,multimat-right,8_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,882922,170,8,1,multimat-right,8_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,652265,232,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,653975,230,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,653663,230,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,653708,230,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,654781,230,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,653703,230,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,653677,230,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,655115,230,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,653659,230,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,653685,230,8,2,multimat-right,8_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,500531,301,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,499109,301,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,502685,301,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,503797,298,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,503845,298,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,502904,298,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,502914,299,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,503766,298,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,503337,298,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,503061,299,8,4,multimat-right,8_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,437343,343,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,438080,343,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,437385,343,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,437304,343,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,437534,343,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,437740,343,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,437626,344,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,437248,344,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,437539,344,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,437573,343,8,8,multimat-right,8_8,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,6998129,18,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,7033204,22,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,7029248,22,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,7028968,22,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,7064110,22,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,7062853,22,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,7096692,22,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,7074722,22,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,7059455,22,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,7070859,22,4,1,multimat-right,4_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,5225828,23,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,5270068,29,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,5275577,29,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,5227661,29,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,5238819,29,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,5269398,29,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,5274518,29,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,5258804,29,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,5252505,30,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,5310640,29,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,3921261,28,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,3950969,38,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,3935851,38,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,3905279,40,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,3963014,38,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,3963122,38,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,3948571,38,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,3917284,38,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,3914624,40,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,3963257,38,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,3336943,30,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,3339332,45,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,3348753,45,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,3325201,45,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,3333498,46,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,3366775,45,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,3349663,45,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,3356626,45,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,3330981,45,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,3333075,46,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,7347802,17,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,7076398,22,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,7033017,22,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,7041908,22,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,7030318,22,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,7029760,22,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,7031109,22,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,7037533,22,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,7032692,22,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,7029760,22,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,5195464,23,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,5242879,29,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,5252378,29,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
