,Kernel,Kernel_iterations,warps_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,16300,92023,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,16629,90206,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,26201,57243,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,27229,55093,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,34584,43377,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,35824,41874,8,basic,8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,88785,16895,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,92197,16282,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,123485,10000,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,128324,10000,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,260058,5769,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,280255,5351,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,549836,2727,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,584573,2565,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,1686137,889,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1654506,909,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,5061001,294,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,4971567,302,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
