,Kernel,Kernel_iterations,block_size,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,3922,323444,64,block-per-shift,64,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3823,392058,128,block-per-shift,128,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4033,370275,256,block-per-shift,256,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5121,292560,512,block-per-shift,512,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5819,219522,64,block-per-shift,64,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5708,262470,128,block-per-shift,128,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,6226,241163,256,block-per-shift,256,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,9193,163218,512,block-per-shift,512,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,8970,143368,64,block-per-shift,64,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,8641,173474,128,block-per-shift,128,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,10133,147930,256,block-per-shift,256,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,15708,95467,512,block-per-shift,512,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,21307,62245,64,block-per-shift,64,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,22388,67005,128,block-per-shift,128,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,26782,55796,256,block-per-shift,256,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,39305,38159,512,block-per-shift,512,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,51420,27738,64,block-per-shift,64,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,54248,27651,128,block-per-shift,128,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,62816,23820,256,block-per-shift,256,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,85112,17622,512,block-per-shift,512,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,229304,5673,64,block-per-shift,64,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,232597,6504,128,block-per-shift,128,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,252610,5937,256,block-per-shift,256,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,298701,4978,512,block-per-shift,512,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,685292,1881,64,block-per-shift,64,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,694028,2162,128,block-per-shift,128,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,736738,2054,256,block-per-shift,256,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,823413,1822,512,block-per-shift,512,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,3482604,414,64,block-per-shift,64,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,3559661,423,128,block-per-shift,128,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,3688086,408,256,block-per-shift,256,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,3901906,384,512,block-per-shift,512,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,11355279,100,64,block-per-shift,64,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,11468216,100,128,block-per-shift,128,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,11682396,100,256,block-per-shift,256,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,12226201,100,512,block-per-shift,512,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
