,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,6756,22621,1884,79293,5595,28097,83566,1,8405767,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
1,5843,26941,1827,83098,5595,28126,95474,1,4380300,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
2,5826,27005,1831,82990,5595,28113,229299,1,6055365,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
3,5842,26967,1832,82971,5596,28115,242497,1,6498648,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
4,5842,26949,1834,82994,5595,28117,80972,1,6200175,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
5,5826,27013,1831,82947,5594,28115,82579,1,4886415,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
6,5826,27014,1835,83037,5595,28121,80044,1,6690249,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
7,5826,26990,1830,82990,5596,28113,82330,1,5919469,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
8,5842,26959,1832,83023,5597,28119,81482,1,5742641,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
9,5843,26950,1830,82919,5596,28108,224283,1,5907752,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
10,5843,26947,1834,83018,5594,28137,82416,1,5935860,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
11,5827,27008,1833,83004,5596,28101,82580,1,4992353,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
12,5841,26949,1831,82990,5594,28113,82131,1,4749940,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
13,5825,26994,1832,82938,5596,28107,81331,1,5643093,1,256,fft,,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
