,Kernel,Kernel_iterations,shifts_per_thread_block,shared_mem_row_size,shared_mem_rows,strided_load,column_group_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,5878,255283,8,32,8,0,0,warp-per-shift-shared-memory,8_32_False_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5892,254614,8,32,8,0,1,warp-per-shift-shared-memory,8_32_False_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4657,320858,8,32,8,1,0,warp-per-shift-shared-memory,8_32_True_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4645,322462,8,32,8,1,1,warp-per-shift-shared-memory,8_32_True_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5871,255569,8,128,8,0,0,warp-per-shift-shared-memory,8_128_False_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5922,253328,8,128,8,0,1,warp-per-shift-shared-memory,8_128_False_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4659,321626,8,128,8,1,0,warp-per-shift-shared-memory,8_128_True_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4633,322604,8,128,8,1,1,warp-per-shift-shared-memory,8_128_True_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5879,255155,8,256,8,0,0,warp-per-shift-shared-memory,8_256_False_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5873,255102,8,256,8,0,1,warp-per-shift-shared-memory,8_256_False_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4689,319208,8,256,8,1,0,warp-per-shift-shared-memory,8_256_True_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4642,322845,8,256,8,1,1,warp-per-shift-shared-memory,8_256_True_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4830,310415,16,32,16,0,0,warp-per-shift-shared-memory,16_32_False_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4741,316532,16,32,16,0,1,warp-per-shift-shared-memory,16_32_False_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3969,376180,16,32,16,1,0,warp-per-shift-shared-memory,16_32_True_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4021,371195,16,32,16,1,1,warp-per-shift-shared-memory,16_32_True_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4779,313947,16,128,16,0,0,warp-per-shift-shared-memory,16_128_False_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4739,316902,16,128,16,0,1,warp-per-shift-shared-memory,16_128_False_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4009,372820,16,128,16,1,0,warp-per-shift-shared-memory,16_128_True_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3969,375274,16,128,16,1,1,warp-per-shift-shared-memory,16_128_True_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4846,309889,16,256,16,0,0,warp-per-shift-shared-memory,16_256_False_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4793,313028,16,256,16,0,1,warp-per-shift-shared-memory,16_256_False_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4027,370997,16,256,16,1,0,warp-per-shift-shared-memory,16_256_True_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4021,371713,16,256,16,1,1,warp-per-shift-shared-memory,16_256_True_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5231,286220,32,32,32,0,0,warp-per-shift-shared-memory,32_32_False_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5280,284188,32,32,32,0,1,warp-per-shift-shared-memory,32_32_False_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4401,339935,32,32,32,1,0,warp-per-shift-shared-memory,32_32_True_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4386,341345,32,32,32,1,1,warp-per-shift-shared-memory,32_32_True_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5278,283802,32,128,32,0,0,warp-per-shift-shared-memory,32_128_False_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5253,284868,32,128,32,0,1,warp-per-shift-shared-memory,32_128_False_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4361,343675,32,128,32,1,0,warp-per-shift-shared-memory,32_128_True_False,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4359,342694,32,128,32,1,1,warp-per-shift-shared-memory,32_128_True_True,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,8390,178784,8,32,8,0,0,warp-per-shift-shared-memory,8_32_False_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,8420,178136,8,32,8,0,1,warp-per-shift-shared-memory,8_32_False_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,6782,221219,8,32,8,1,0,warp-per-shift-shared-memory,8_32_True_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,6776,221393,8,32,8,1,1,warp-per-shift-shared-memory,8_32_True_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,8400,178586,8,128,8,0,0,warp-per-shift-shared-memory,8_128_False_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,8428,178000,8,128,8,0,1,warp-per-shift-shared-memory,8_128_False_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,6742,221930,8,128,8,1,0,warp-per-shift-shared-memory,8_128_True_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,6738,222226,8,128,8,1,1,warp-per-shift-shared-memory,8_128_True_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,8395,178727,8,256,8,0,0,warp-per-shift-shared-memory,8_256_False_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,8391,178804,8,256,8,0,1,warp-per-shift-shared-memory,8_256_False_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,6743,222233,8,256,8,1,0,warp-per-shift-shared-memory,8_256_True_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,6744,222374,8,256,8,1,1,warp-per-shift-shared-memory,8_256_True_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,7091,211588,16,32,16,0,0,warp-per-shift-shared-memory,16_32_False_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,7092,211671,16,32,16,0,1,warp-per-shift-shared-memory,16_32_False_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5735,261561,16,32,16,1,0,warp-per-shift-shared-memory,16_32_True_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5729,261991,16,32,16,1,1,warp-per-shift-shared-memory,16_32_True_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,7106,211277,16,128,16,0,0,warp-per-shift-shared-memory,16_128_False_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,7111,211031,16,128,16,0,1,warp-per-shift-shared-memory,16_128_False_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5760,260389,16,128,16,1,0,warp-per-shift-shared-memory,16_128_True_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5725,262090,16,128,16,1,1,warp-per-shift-shared-memory,16_128_True_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,7090,211790,16,256,16,0,0,warp-per-shift-shared-memory,16_256_False_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,7090,211573,16,256,16,0,1,warp-per-shift-shared-memory,16_256_False_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,5771,259881,16,256,16,1,0,warp-per-shift-shared-memory,16_256_True_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
