,Kernel,Kernel_iterations,shifts_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,3413,440648,4,warp-per-shift,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3163,471633,16,warp-per-shift,16,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,3558,421478,32,warp-per-shift,32,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4094,366120,4,warp-per-shift,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4215,354367,16,warp-per-shift,16,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4739,317444,32,warp-per-shift,32,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,7613,196474,4,warp-per-shift,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,6997,214334,16,warp-per-shift,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,6340,236613,32,warp-per-shift,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,18367,81507,4,warp-per-shift,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,20556,72942,16,warp-per-shift,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,21938,68444,32,warp-per-shift,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,46548,32173,4,warp-per-shift,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,50224,29880,16,warp-per-shift,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,50199,29916,32,warp-per-shift,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,195453,7665,4,warp-per-shift,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,200032,7499,16,warp-per-shift,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,202455,7396,32,warp-per-shift,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,591267,2557,4,warp-per-shift,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,594400,2523,16,warp-per-shift,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,598203,2509,32,warp-per-shift,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,2997946,504,4,warp-per-shift,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,2958573,505,16,warp-per-shift,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,2958135,510,32,warp-per-shift,32,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,9585305,157,4,warp-per-shift,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,9256947,162,16,warp-per-shift,16,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,9236159,163,32,warp-per-shift,32,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
