,Kernel,Kernel_iterations,warps_per_thread_block,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,4823,311100,4,1,rectangle,basic-work_distribution,4_1_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4927,304479,4,1,triangle,basic-work_distribution,4_1_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5713,262494,4,2,rectangle,basic-work_distribution,4_2_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5895,254876,4,2,triangle,basic-work_distribution,4_2_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,7701,194530,4,4,rectangle,basic-work_distribution,4_4_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,7800,192288,4,4,triangle,basic-work_distribution,4_4_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,11319,132548,4,8,rectangle,basic-work_distribution,4_8_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,11353,131992,4,8,triangle,basic-work_distribution,4_8_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,18258,82100,4,16,rectangle,basic-work_distribution,4_16_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,18435,81270,4,16,triangle,basic-work_distribution,4_16_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4873,307515,8,1,rectangle,basic-work_distribution,8_1_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,4952,302367,8,1,triangle,basic-work_distribution,8_1_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5796,259421,8,2,rectangle,basic-work_distribution,8_2_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,5993,250440,8,2,triangle,basic-work_distribution,8_2_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,7800,192265,8,4,rectangle,basic-work_distribution,8_4_rectangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,7893,189900,8,4,triangle,basic-work_distribution,8_4_triangle,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
