,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,hadamard_items_per_thread,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,8880,176508,4720,317644,8507,184483,63817,1,9534997,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,8842,177459,4702,319633,8507,184485,7972,1,4262815,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,8913,176132,4703,318341,8441,185907,7511,1,3827275,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,8903,176314,4709,318251,8380,187364,8533,1,4042631,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,8909,176046,4705,318549,8128,193166,7812,1,3844170,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,8835,177600,4710,319306,8273,189647,7642,1,3670167,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,8902,176272,4703,318424,8269,189691,7262,1,3967006,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,8840,177529,4718,318113,8577,182971,7762,1,3808817,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,8901,176161,4702,318972,8509,184449,7762,1,3768616,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,8852,177057,4722,317513,8460,185565,7661,1,3636346,1,256,10,fft,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,9193,170761,5648,265568,8866,177007,66421,1,9814881,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
1,9194,170696,5648,265554,8884,176630,8403,1,4399331,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
2,9188,170816,5647,265568,8931,175685,7791,1,4431170,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
3,9136,171539,5648,265549,8810,178079,8323,1,4612904,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
4,9191,170783,5649,265510,8886,176600,7411,1,5102536,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
5,9106,172457,5646,265640,8849,177307,107653,1,4352170,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
6,9179,171017,5644,265722,8888,176549,7782,1,4238307,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
7,9109,172267,5645,265655,8872,176853,8243,1,3403112,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
8,9104,172358,5646,265645,8902,176266,8273,1,4033947,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
9,9177,170741,5645,265693,8890,176520,8553,1,5439446,1,256,10,fft,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
0,7702,203849,5033,299940,7650,205257,64197,1,9913421,1,256,10,fft,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
1,7638,205557,5038,296642,7618,206107,7862,1,4856674,1,256,10,fft,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
2,7703,203840,5022,298090,7650,205331,7591,1,4581407,1,256,10,fft,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
3,7680,204458,5033,299278,7635,205625,7811,1,4337748,1,256,10,fft,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
