,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,4932,303990,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,4933,304592,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,4932,304586,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,4933,304586,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,4934,304403,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,4934,304441,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,4934,304535,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,4934,304510,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,4934,304498,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,4934,304396,4,1,1,1,rectangle,multimat-both-work-distribution,4_1_1_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,4645,322923,4,1,1,1,triangle,multimat-both-work-distribution,4_1_1_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,4644,323187,4,1,1,1,triangle,multimat-both-work-distribution,4_1_1_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,4644,323244,4,1,1,1,triangle,multimat-both-work-distribution,4_1_1_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,4644,323095,4,1,1,1,triangle,multimat-both-work-distribution,4_1_1_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,4644,323216,4,1,1,1,triangle,multimat-both-work-distribution,4_1_1_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,4645,323173,4,1,1,1,triangle,multimat-both-work-distribution,4_1_1_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,4644,323201,4,1,1,1,triangle,multimat-both-work-distribution,4_1_1_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,4644,323187,4,1,1,1,triangle,multimat-both-work-distribution,4_1_1_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,4643,323259,4,1,1,1,triangle,multimat-both-work-distribution,4_1_1_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,4643,323230,4,1,1,1,triangle,multimat-both-work-distribution,4_1_1_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,7450,201530,4,1,1,4,rectangle,multimat-both-work-distribution,4_1_1_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,7452,201520,4,1,1,4,rectangle,multimat-both-work-distribution,4_1_1_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,7452,201370,4,1,1,4,rectangle,multimat-both-work-distribution,4_1_1_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,7451,201531,4,1,1,4,rectangle,multimat-both-work-distribution,4_1_1_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,7457,201514,4,1,1,4,rectangle,multimat-both-work-distribution,4_1_1_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,7452,201470,4,1,1,4,rectangle,multimat-both-work-distribution,4_1_1_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,7453,201282,4,1,1,4,rectangle,multimat-both-work-distribution,4_1_1_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,7456,201088,4,1,1,4,rectangle,multimat-both-work-distribution,4_1_1_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,7450,201254,4,1,1,4,rectangle,multimat-both-work-distribution,4_1_1_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,7454,201290,4,1,1,4,rectangle,multimat-both-work-distribution,4_1_1_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,7384,203086,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,7384,203256,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,7384,203262,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,7384,203256,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,7384,203268,4,1,1,4,triangle,multimat-both-work-distribution,4_1_1_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
