,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,left_matrices_per_thread,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,2754311,545,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,2754327,545,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,2754338,545,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,2754343,545,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,2754353,545,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,2754328,545,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,2754343,545,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,2754336,545,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,2754327,545,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,2754323,545,4,1,1,1,1,multimat-both-multirow-both,4_1_1_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,2780461,540,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,2780482,540,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,2780499,540,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,2780480,540,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,2780486,540,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,2780482,540,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,2780474,540,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,2780472,540,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,2780467,540,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,2780480,540,4,1,1,1,2,multimat-both-multirow-both,4_1_1_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,2780512,540,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,2780603,540,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,2780677,540,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,2780674,540,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,2780484,540,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,2780617,540,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,2780664,540,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,2780565,540,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,2780550,540,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,2780573,540,4,1,1,1,4,multimat-both-multirow-both,4_1_1_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1958385,766,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1957675,767,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1957682,767,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1957691,767,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1957694,767,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1957690,767,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1957701,767,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1957707,767,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1957685,767,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1957707,767,4,2,1,1,1,multimat-both-multirow-both,4_1_1_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1749296,858,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1749370,858,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1749377,858,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1749393,858,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1749403,858,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1749422,858,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1749443,858,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1749406,858,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1749420,858,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1749393,858,4,2,1,1,2,multimat-both-multirow-both,4_1_1_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1723085,871,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1723119,871,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1723123,871,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1723112,871,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1723122,871,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1723116,871,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1723104,871,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1723128,871,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
