,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,8911,17608,3192,46973,8688,18064,64177,1,10749856,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,8930,17571,3192,46976,8642,18156,106041,1,4111284,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,9036,17425,3192,46976,8600,18247,104948,1,4308174,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,8915,17581,3192,46976,8621,18211,104077,1,4578622,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,9047,17363,3192,46972,8688,18064,105770,1,4218027,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,8934,17578,3192,46972,8598,18255,103637,1,4210324,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,9030,17417,3192,46973,8647,18150,102285,1,4128000,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,9024,17387,3192,46973,8646,18155,102646,1,4094499,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,9063,17327,3192,46970,8604,18244,102075,1,4089131,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,8942,17547,3192,46976,8592,18265,102946,1,4242843,1,256,fft,,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,9138,17203,3195,46940,8840,17747,61914,1,9089904,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
1,9059,17322,3193,46963,8848,17732,105089,1,3587382,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
2,9061,17309,3194,46954,8782,17867,100202,1,3836179,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
3,9130,17177,3193,46942,8819,17793,103867,1,4009692,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
4,9060,17328,3193,46957,8827,17778,109967,1,3742046,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
5,9061,17313,3193,46963,8859,17715,100362,1,3802538,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
6,9062,17321,3195,46946,8785,17856,102445,1,3774956,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
7,9125,17212,3194,46958,8833,17766,100753,1,3835468,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
8,9060,17319,3193,46961,8823,17781,111198,1,3742317,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
9,9059,17324,3193,46928,8804,17817,104558,1,3838573,1,256,fft,,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
0,9113,17217,3389,44162,8695,18047,64467,1,9454968,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
1,9063,17312,3390,44336,8726,17983,102125,1,4197806,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
2,9126,17192,3404,44130,8709,18017,113723,1,4343667,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
3,9096,17261,3399,44068,8660,18121,102606,1,4496318,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
4,9117,17212,3405,44065,8661,18119,104358,1,4023753,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
5,9118,17212,3411,44041,8660,18124,103677,1,3611108,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
6,9122,17202,3411,44032,8700,18036,101945,1,4307583,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
7,9100,17255,3386,44138,8731,17974,100943,1,4383318,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
8,9115,17212,3417,43917,8659,18120,101464,1,4349777,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
9,9129,17185,3397,44141,8659,18121,104609,1,4188582,1,256,fft,,16_16_8_32,10240,16,16,256,8,32,8x32,n_to_mn
0,7848,19999,3483,43075,7840,20016,65159,1,9731776,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
1,7852,19991,3482,43080,7829,20056,104258,1,4177446,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
2,7828,20057,3482,43061,7833,20044,111649,1,3922439,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
3,7844,20022,3482,43082,7844,20016,103227,1,3944493,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
4,7858,19976,3482,43071,7845,20013,103416,1,3779694,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
5,7885,19916,3483,43054,7835,20039,102685,1,4170876,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
6,7824,20068,3483,43071,7800,20138,202948,1,4228784,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
7,7857,19988,3483,43069,7797,20142,105020,1,3891142,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
8,7833,20042,3483,43066,7831,20046,113032,1,3916921,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
9,7880,19921,3483,43066,7792,20144,103527,1,4101942,1,256,fft,,32_32_2_8,10240,32,32,1024,2,8,2x8,n_to_mn
0,8083,19411,3481,43087,8058,19481,73502,1,8771221,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
1,8081,19432,3479,43085,8084,19412,102235,1,3337975,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
2,8113,19347,3478,43107,8085,19411,103887,1,3803179,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
3,8114,19342,3480,43107,8088,19410,102325,1,3764631,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
4,8078,19438,3481,43093,8115,19352,102404,1,3690518,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
5,8117,19342,3479,43102,8137,19305,102075,1,3535734,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
6,8121,19331,3477,43077,8102,19372,101303,1,3615535,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
7,8094,19394,3476,43082,8090,19400,100532,1,3652922,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
8,8115,19342,3479,43103,8097,19389,102175,1,3569525,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
9,8115,19345,3478,43134,8114,19329,113382,1,3746253,1,256,fft,,32_32_4_16,20480,32,32,1024,4,16,4x16,n_to_mn
0,8690,18057,3389,44225,8452,18570,74172,1,10378496,1,256,fft,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
1,8660,18118,3390,44240,8489,18490,102845,1,4344128,1,256,fft,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
2,8662,18115,3391,44221,8462,18549,111099,1,4390648,1,256,fft,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
3,8634,18173,3390,44225,8487,18495,101604,1,4475857,1,256,fft,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
4,8664,18116,3390,44232,8438,18606,99942,1,4339331,1,256,fft,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
5,8683,18069,3390,44245,8458,18561,99661,1,4450659,1,256,fft,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
6,8667,18103,3389,44242,8467,18541,97698,1,4400494,1,256,fft,,32_32_8_32,40960,32,32,1024,8,32,8x32,n_to_mn
