,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,26731,5598,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,26732,5615,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,26743,5605,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,26770,5603,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,26734,5623,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,26756,5613,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,26741,5581,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,26775,5593,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,26735,5612,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,26740,5606,4,1,1,none,20,multimat-right,4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,29048,5147,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,29069,5156,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,28947,5123,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,29025,5146,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,28941,5174,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,28944,5195,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,28947,5179,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,29024,5181,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,28956,5192,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,28971,5155,4,2,1,none,20,multimat-right,4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,29473,5094,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,29363,5107,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,29384,5093,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,29382,5104,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,29366,5100,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,29378,5104,4,4,1,none,20,multimat-right,4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
