,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,452342,332,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,452349,332,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,452401,332,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,452280,332,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,452343,332,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,452417,332,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,452395,332,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,452413,332,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,452382,332,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,452239,332,4,1,1,none,20,multimat-right,4_1,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,324857,462,4,2,1,none,20,multimat-right,4_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,324992,461,4,2,1,none,20,multimat-right,4_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,325250,461,4,2,1,none,20,multimat-right,4_2,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
