,Kernel,Kernel_iterations,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,4382471,33,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
1,4380525,35,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
2,4383158,35,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
3,4382222,35,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
4,4382369,35,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
5,4382866,35,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
6,4381988,35,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
7,4381754,35,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
8,4381754,35,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
9,4381930,35,original,,16_16_10_2560,657920,16,16,256,10,2560,10x2560,n_to_mn_saturated
0,14449478,11,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
1,14474985,11,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
2,14443984,11,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
3,14496674,11,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
4,14447522,11,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
5,14513803,11,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
6,14443147,11,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
7,14469027,11,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
8,14443984,11,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
9,14480198,11,original,,32_32_10_2560,2631680,32,32,1024,10,2560,10x2560,n_to_mn_saturated
0,102225059,1,original,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
1,102285507,1,original,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
2,102068611,1,original,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
3,101917694,1,original,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
4,102067741,1,original,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
5,101758049,1,original,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
6,101364257,1,original,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
7,101408447,1,original,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
8,101971328,1,original,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
9,101879234,1,original,,64_64_10_2560,10526720,64,64,4096,10,2560,10x2560,n_to_mn_saturated
0,759081787,1,original,,128_128_10_2560,42106880,128,128,16384,10,2560,10x2560,n_to_mn_saturated
1,755437377,1,original,,128_128_10_2560,42106880,128,128,16384,10,2560,10x2560,n_to_mn_saturated
2,782459289,1,original,,128_128_10_2560,42106880,128,128,16384,10,2560,10x2560,n_to_mn_saturated
3,763437500,1,original,,128_128_10_2560,42106880,128,128,16384,10,2560,10x2560,n_to_mn_saturated
4,755739868,1,original,,128_128_10_2560,42106880,128,128,16384,10,2560,10x2560,n_to_mn_saturated
5,754564880,1,original,,128_128_10_2560,42106880,128,128,16384,10,2560,10x2560,n_to_mn_saturated
6,760324218,1,original,,128_128_10_2560,42106880,128,128,16384,10,2560,10x2560,n_to_mn_saturated
7,774366760,1,original,,128_128_10_2560,42106880,128,128,16384,10,2560,10x2560,n_to_mn_saturated
8,762212463,1,original,,128_128_10_2560,42106880,128,128,16384,10,2560,10x2560,n_to_mn_saturated
9,772920898,1,original,,128_128_10_2560,42106880,128,128,16384,10,2560,10x2560,n_to_mn_saturated
0,10110094726,1,original,,256_256_10_2560,168427520,256,256,65536,10,2560,10x2560,n_to_mn_saturated
1,10183014648,1,original,,256_256_10_2560,168427520,256,256,65536,10,2560,10x2560,n_to_mn_saturated
2,10213688476,1,original,,256_256_10_2560,168427520,256,256,65536,10,2560,10x2560,n_to_mn_saturated
3,10263036132,1,original,,256_256_10_2560,168427520,256,256,65536,10,2560,10x2560,n_to_mn_saturated
4,10234432617,1,original,,256_256_10_2560,168427520,256,256,65536,10,2560,10x2560,n_to_mn_saturated
5,10263218750,1,original,,256_256_10_2560,168427520,256,256,65536,10,2560,10x2560,n_to_mn_saturated
6,10248351562,1,original,,256_256_10_2560,168427520,256,256,65536,10,2560,10x2560,n_to_mn_saturated
7,10283425781,1,original,,256_256_10_2560,168427520,256,256,65536,10,2560,10x2560,n_to_mn_saturated
8,10259410156,1,original,,256_256_10_2560,168427520,256,256,65536,10,2560,10x2560,n_to_mn_saturated
9,10270734375,1,original,,256_256_10_2560,168427520,256,256,65536,10,2560,10x2560,n_to_mn_saturated
0,164153718750,1,original,,512_512_10_2560,673710080,512,512,262144,10,2560,10x2560,n_to_mn_saturated
1,164653984375,1,original,,512_512_10_2560,673710080,512,512,262144,10,2560,10x2560,n_to_mn_saturated
2,164763750000,1,original,,512_512_10_2560,673710080,512,512,262144,10,2560,10x2560,n_to_mn_saturated
3,164663109375,1,original,,512_512_10_2560,673710080,512,512,262144,10,2560,10x2560,n_to_mn_saturated
4,164767281250,1,original,,512_512_10_2560,673710080,512,512,262144,10,2560,10x2560,n_to_mn_saturated
5,164591078125,1,original,,512_512_10_2560,673710080,512,512,262144,10,2560,10x2560,n_to_mn_saturated
6,164861906250,1,original,,512_512_10_2560,673710080,512,512,262144,10,2560,10x2560,n_to_mn_saturated
7,164514125000,1,original,,512_512_10_2560,673710080,512,512,262144,10,2560,10x2560,n_to_mn_saturated
8,164670859375,1,original,,512_512_10_2560,673710080,512,512,262144,10,2560,10x2560,n_to_mn_saturated
9,164511265625,1,original,,512_512_10_2560,673710080,512,512,262144,10,2560,10x2560,n_to_mn_saturated
