,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,7050,212731,4,1,1,rectangle,multimat-right-work-distribution,4_1_1_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7369,203434,4,1,1,triangle,multimat-right-work-distribution,4_1_1_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10106,148407,4,1,4,rectangle,multimat-right-work-distribution,4_1_4_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10127,148026,4,1,4,triangle,multimat-right-work-distribution,4_1_4_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,14292,104953,4,1,8,rectangle,multimat-right-work-distribution,4_1_8_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,14316,104764,4,1,8,triangle,multimat-right-work-distribution,4_1_8_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,22163,67672,4,1,16,rectangle,multimat-right-work-distribution,4_1_16_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,21837,68684,4,1,16,triangle,multimat-right-work-distribution,4_1_16_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7110,211161,4,2,1,rectangle,multimat-right-work-distribution,4_2_1_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7240,207236,4,2,1,triangle,multimat-right-work-distribution,4_2_1_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10439,143662,4,2,4,rectangle,multimat-right-work-distribution,4_2_4_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10693,140321,4,2,4,triangle,multimat-right-work-distribution,4_2_4_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,14958,100222,4,2,8,rectangle,multimat-right-work-distribution,4_2_8_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,15092,99379,4,2,8,triangle,multimat-right-work-distribution,4_2_8_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,23816,62975,4,2,16,rectangle,multimat-right-work-distribution,4_2_16_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,24249,61858,4,2,16,triangle,multimat-right-work-distribution,4_2_16_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7264,206581,4,4,1,rectangle,multimat-right-work-distribution,4_4_1_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7302,205414,4,4,1,triangle,multimat-right-work-distribution,4_4_1_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10695,140257,4,4,4,rectangle,multimat-right-work-distribution,4_4_4_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10800,138850,4,4,4,triangle,multimat-right-work-distribution,4_4_4_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,15058,99600,4,4,8,rectangle,multimat-right-work-distribution,4_4_8_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,15076,99470,4,4,8,triangle,multimat-right-work-distribution,4_4_8_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,24218,61948,4,4,16,rectangle,multimat-right-work-distribution,4_4_16_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,24353,61589,4,4,16,triangle,multimat-right-work-distribution,4_4_16_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7314,205112,4,8,1,rectangle,multimat-right-work-distribution,4_8_1_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7293,205737,4,8,1,triangle,multimat-right-work-distribution,4_8_1_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,10913,137377,4,8,4,rectangle,multimat-right-work-distribution,4_8_4_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,11213,133763,4,8,4,triangle,multimat-right-work-distribution,4_8_4_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
