,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,18768,79940,4,1,multimat-right,4_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,20967,71545,4,2,multimat-right,4_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,21303,70430,4,4,multimat-right,4_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,22412,66924,4,8,multimat-right,4_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,19099,78574,8,1,multimat-right,8_1,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,21619,69314,8,2,multimat-right,8_2,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,21637,69328,8,4,multimat-right,8_4,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,23137,64848,8,8,multimat-right,8_8,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,19017,78877,4,1,multimat-right,4_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,21325,70341,4,2,multimat-right,4_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,22050,68032,4,4,multimat-right,4_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,60900,24632,4,8,multimat-right,4_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,19247,77928,8,1,multimat-right,8_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,22060,67988,8,2,multimat-right,8_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,24995,60020,8,4,multimat-right,8_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,62428,24029,8,8,multimat-right,8_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,39092,38371,4,1,multimat-right,4_1,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,43940,34138,4,2,multimat-right,4_2,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,44642,33593,4,4,multimat-right,4_4,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,46719,32109,4,8,multimat-right,4_8,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,40827,36743,8,1,multimat-right,8_1,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,45096,33268,8,2,multimat-right,8_2,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,45555,32928,8,4,multimat-right,8_4,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,48793,30744,8,8,multimat-right,8_8,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
