,Kernel,Kernel_iterations,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,38453,39004,original,,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,141473,10000,original,,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,109058,10000,original,,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,551295,2721,original,,16_16_1_32,8448,16,16,256,1,32,1x32,one_to_many
0,393570,3812,original,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
0,357540,4196,original,,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
0,1530017,981,original,,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
0,1267874,1184,original,,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
0,1366423,1098,original,,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,5016149,300,original,,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
0,5386970,279,original,,128_128_1_8,147456,128,128,16384,1,8,1x8,one_to_many
0,11885198,100,original,,256_256_1_2,196608,256,256,65536,1,2,1x2,one_to_many
0,21399434,70,original,,128_128_1_32,540672,128,128,16384,1,32,1x32,one_to_many
0,48245342,32,original,,256_256_1_8,589824,256,256,65536,1,8,1x8,one_to_many
0,198261245,8,original,,256_256_1_32,2162688,256,256,65536,1,32,1x32,one_to_many
