,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,675793,222,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,675807,222,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,675812,222,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,675789,222,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,675816,222,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,675840,222,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,675830,222,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,675816,222,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,675821,222,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,675807,222,4,1,1,1,multimat-right-multirow-both,4_1_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,682630,220,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,682598,220,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,682579,220,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,682612,220,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,682644,220,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,682635,220,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,682589,220,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,682598,220,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,682607,220,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,682603,220,4,1,1,2,multimat-right-multirow-both,4_1_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,682584,220,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,682537,220,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,682593,220,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,682584,220,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,682612,220,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,682579,220,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,682607,220,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,682640,220,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,682584,220,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,682603,220,4,1,1,4,multimat-right-multirow-both,4_1_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,478983,313,4,2,1,1,multimat-right-multirow-both,4_1_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,478915,314,4,2,1,1,multimat-right-multirow-both,4_1_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,478971,314,4,2,1,1,multimat-right-multirow-both,4_1_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,478971,314,4,2,1,1,multimat-right-multirow-both,4_1_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,478974,314,4,2,1,1,multimat-right-multirow-both,4_1_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,478928,314,4,2,1,1,multimat-right-multirow-both,4_1_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,478935,314,4,2,1,1,multimat-right-multirow-both,4_1_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,478977,314,4,2,1,1,multimat-right-multirow-both,4_1_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,478948,314,4,2,1,1,multimat-right-multirow-both,4_1_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,478945,314,4,2,1,1,multimat-right-multirow-both,4_1_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,436197,344,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,436096,344,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,436060,344,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,436104,344,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,436152,344,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,436093,344,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,436125,344,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,436119,344,4,2,1,2,multimat-right-multirow-both,4_1_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
