,Kernel,Kernel_iterations,warps_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,18706,80186,4,basic,4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,18643,80448,8,basic,8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one
0,30181,49702,4,basic,4,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,30418,49321,8,basic,8,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,39875,37640,4,basic,4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,39107,38366,8,basic,8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,98654,15204,4,basic,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,102577,10000,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,139442,10000,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,141894,10000,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,291697,5142,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,314137,4775,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,509270,2945,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,548967,2732,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,1661744,898,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1800533,834,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,4333727,346,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,4189974,359,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
