,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,1946589111,1,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,12118,123774,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,12118,123773,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,12118,123772,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,12118,123774,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,12119,123773,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,12118,123771,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,12119,123773,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,12118,123773,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,12118,123775,4,1,1,1,none,multimat-both,4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,13379,112120,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,13373,112218,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,13378,112180,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,13371,112229,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,13378,112166,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,13372,112227,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,13378,112176,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,13371,112228,4,1,2,1,none,multimat-both,4_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
