,Kernel,Kernel_iterations,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,26374,56905,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,26371,56833,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,26365,56871,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,26347,56932,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,26357,56912,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,26344,56921,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,26343,56918,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,26349,56910,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,26351,56921,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,26348,56919,8,original,,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,90967,16483,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
1,90962,16484,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
2,90933,16492,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
3,90964,16488,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
4,90941,16498,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
5,90908,16500,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
6,90972,16490,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
7,91015,16487,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
8,91019,16483,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
9,90986,16485,8,original,,16_16_8_8,4096,16,16,256,8,8,8x8,n_to_m
0,66314,22615,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
1,66349,22608,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
2,66341,22604,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
3,66334,22611,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
4,66345,22607,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
5,66342,22608,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
6,66351,22611,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
7,66364,22606,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
8,66333,22612,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
9,66352,22608,8,original,,32_32_2_2,4096,32,32,1024,2,2,2x2,n_to_m
0,1231297,1219,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
1,1231112,1218,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
2,1231226,1219,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
3,1231083,1219,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
4,1231063,1219,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
5,1231195,1219,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
6,1230976,1219,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
7,1231179,1218,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
8,1231172,1219,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
9,1231105,1219,8,original,,16_16_32_32,16384,16,16,256,32,32,32x32,n_to_m
0,230404,6503,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
1,230399,6509,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
2,230377,6511,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
3,230358,6514,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
4,230358,6506,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
5,230346,6512,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
6,230368,6511,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
7,230423,6507,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
8,230419,6506,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
9,230416,6508,8,original,,32_32_8_8,16384,32,32,1024,8,8,8x8,n_to_m
0,215762,6950,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
1,215798,6950,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
2,215801,6950,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
3,215825,6948,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
4,215813,6945,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
5,215839,6949,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
6,215834,6947,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
7,215838,6949,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
8,215819,6951,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
9,215850,6950,8,original,,64_64_2_2,16384,64,64,4096,2,2,2x2,n_to_m
0,3379659,444,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
1,3380150,444,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
2,3380702,444,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
3,3379640,444,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
4,3380113,444,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
5,3379349,444,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
6,3380650,444,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
7,3379579,444,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
8,3379955,444,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
9,3379786,444,8,original,,32_32_32_32,65536,32,32,1024,32,32,32x32,n_to_m
0,956030,1596,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
1,959657,1576,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
2,961963,1575,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
3,961952,1565,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
4,965081,1572,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
5,963444,1573,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
6,966030,1565,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
7,965079,1571,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
8,966866,1560,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
9,965556,1563,8,original,,64_64_8_8,65536,64,64,4096,8,8,8x8,n_to_m
0,979521,1539,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
1,984448,1529,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
2,984776,1529,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
3,984685,1526,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
4,984847,1524,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
5,985050,1527,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
6,985000,1526,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
7,984982,1527,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
8,984824,1531,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
9,985267,1523,8,original,,128_128_2_2,65536,128,128,16384,2,2,2x2,n_to_m
0,17238335,91,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
1,17185728,92,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
2,17255294,91,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
3,17261341,88,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
4,17255084,83,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
5,17208550,86,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
6,17301516,89,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
7,17331345,90,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
8,17230438,89,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
9,17309535,87,8,original,,64_64_32_32,262144,64,64,4096,32,32,32x32,n_to_m
0,12489852,100,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
1,12457385,100,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
2,12449071,100,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
3,12421231,100,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
4,12437032,100,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
5,12561246,100,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
6,12543678,100,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
7,12495421,100,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
8,12513070,100,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
9,12538972,100,8,original,,128_128_8_8,262144,128,128,16384,8,8,8x8,n_to_m
0,11474120,100,8,original,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
1,11665592,100,8,original,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
2,11680404,100,8,original,,256_256_2_2,262144,256,256,65536,2,2,2x2,n_to_m
