,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,2404670,636,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,2413672,627,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,2414060,630,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,2417919,626,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,2417879,627,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,2422378,626,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,2421234,624,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,2421165,624,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,2425341,623,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,2425954,624,4,1,1,1,none,multimat-both,4_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1677221,921,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1684478,910,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1684908,910,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1689223,906,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1698717,892,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1698582,894,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1702960,896,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1715652,884,4,1,2,1,none,multimat-both,4_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
